begin,open,close,high,low
2020-02-13,79.15,79.31,79.64,78.94
2020-02-14,79.28,79.33,79.58,78.82
2020-02-18,76.99,77.88,78.06,76.81
2020-02-19,78.12,79.01,79.24,78.12
2020-02-20,78.77,78.2,79.26,77.69
2020-02-21,77.79,76.43,78.23,75.8
2020-02-24,72.57,72.8,74.26,70.61
2020-02-25,73.47,70.33,73.86,69.85
2020-02-26,69.95,71.45,72.72,69.94
2020-02-27,68.63,66.78,69.82,66.64
2020-02-28,62.81,66.74,67.97,62.59
2020-03-02,68.91,72.95,73.59,67.8
2020-03-03,74.14,70.63,74.22,69.77
2020-03-04,72.37,73.91,74.07,71.56
2020-03-05,72.15,71.51,73.13,71.14
2020-03-06,68.85,70.56,71.0,68.66
2020-03-09,64.39,64.98,67.89,64.21
2020-03-10,67.66,69.66,69.93,65.76
2020-03-11,67.72,67.24,68.66,66.37
2020-03-12,62.48,60.6,65.92,60.55
2020-03-13,64.67,67.86,68.34,61.75
2020-03-16,59.07,59.13,63.25,58.59
2020-03-17,60.43,61.73,62.89,58.2
2020-03-18,58.54,60.22,61.03,57.89
2020-03-19,60.4,59.76,61.73,59.23
2020-03-20,60.35,55.97,61.48,55.66
2020-03-23,55.68,54.78,55.79,51.91
2020-03-24,57.7,60.27,60.47,57.2
2020-03-25,61.22,59.94,63.05,59.64
2020-03-26,60.18,63.09,63.15,60.15
2020-03-27,61.71,60.48,62.47,60.31
2020-03-30,61.21,62.21,62.38,60.89
2020-03-31,62.4,62.08,64.08,61.52
2020-04-01,60.18,58.81,60.72,58.38
2020-04-02,58.68,59.8,59.85,57.84
2020-04-03,59.28,58.94,59.98,58.34
2020-04-06,61.25,64.08,64.23,60.88
2020-04-07,66.11,63.34,66.33,63.23
2020-04-08,64.14,64.96,65.27,63.78
2020-04-09,65.6,65.43,65.93,64.62
2020-04-13,65.5,66.71,66.82,64.9
2020-04-14,68.36,70.08,70.37,67.88
2020-04-15,68.94,69.44,69.9,68.51
2020-04-16,70.16,69.99,70.36,68.93
2020-04-17,69.5,69.04,70.05,67.59
2020-04-20,67.86,67.61,68.77,67.59
2020-04-21,67.45,65.52,67.69,64.8
2020-04-22,66.8,67.41,67.85,66.45
2020-04-23,67.35,67.14,68.79,67.11
2020-04-24,67.67,69.08,69.09,67.63
2020-04-27,68.8,69.13,69.47,68.35
2020-04-28,69.6,68.01,69.78,67.92
2020-04-29,69.51,70.25,70.72,69.31
2020-04-30,70.79,71.73,71.91,70.4
2020-05-01,69.88,70.57,73.0,69.79
2020-05-04,70.6,71.57,71.7,69.9
2020-05-05,72.03,72.65,73.48,71.89
2020-05-06,73.35,73.39,74.03,72.96
2020-05-07,74.03,74.15,74.5,73.72
2020-05-08,74.82,75.92,75.97,74.49
2020-05-11,75.42,77.11,77.61,75.21
2020-05-12,77.8,76.23,78.26,76.11
2020-05-13,76.41,75.31,77.34,74.22
2020-05-14,74.54,75.77,75.84,73.81
2020-05-15,73.52,75.33,75.37,73.49
2020-05-18,76.66,77.1,77.48,75.97
2020-05-19,77.12,76.66,77.97,76.62
2020-05-20,77.52,78.15,78.22,77.48
2020-05-21,78.01,77.56,78.55,77.32
2020-05-22,77.3,78.06,78.15,77.2
2020-05-26,79.19,77.53,79.37,77.48
2020-05-27,77.39,77.87,78.02,76.64
2020-05-28,77.54,77.91,79.18,77.27
2020-05-29,78.15,77.83,78.62,77.47
2020-06-01,77.78,78.79,78.91,77.65
2020-06-02,78.52,79.15,79.18,78.07
2020-06-03,79.48,79.59,79.85,78.9
2020-06-04,79.41,78.9,79.71,78.53
2020-06-05,79.16,81.15,81.21,79.13
2020-06-08,80.84,81.63,81.66,80.13
2020-06-09,81.31,84.21,84.6,81.28
2020-06-10,85.16,86.37,86.85,84.72
2020-06-11,85.51,82.23,85.94,82.12
2020-06-12,84.39,82.94,85.14,81.82
2020-06-15,81.58,83.96,84.62,81.41
2020-06-16,86.04,86.19,86.46,84.39
2020-06-17,86.94,86.07,87.0,85.95
2020-06-18,86.02,86.1,86.52,85.49
2020-06-19,86.81,85.61,87.28,84.49
2020-06-22,86.01,87.85,87.99,85.96
2020-06-23,89.11,89.73,91.16,88.68
2020-06-24,89.35,88.14,90.28,87.76
2020-06-25,88.3,89.31,89.35,87.53
2020-06-26,89.21,86.57,89.43,86.42
2020-06-29,86.47,88.56,88.66,85.99
2020-06-30,88.15,89.3,89.59,88.13
2020-07-01,89.38,89.13,89.93,89.08
2020-07-02,90.05,89.13,90.69,89.02
2020-07-06,90.57,91.52,91.99,90.54
2020-07-07,91.9,91.23,92.68,91.12
2020-07-08,92.22,93.36,93.39,92.13
2020-07-09,94.26,93.76,94.31,92.7
2020-07-10,93.35,93.92,93.98,92.73
2020-07-13,95.24,93.49,97.87,93.27
2020-07-14,92.87,95.04,95.23,91.92
2020-07-15,96.93,95.69,97.18,94.48
2020-07-16,94.55,94.51,95.38,93.91
2020-07-17,94.97,94.32,95.13,93.85
2020-07-20,94.41,96.31,96.45,94.06
2020-07-21,97.11,94.98,97.18,94.73
2020-07-22,94.68,95.25,95.94,94.59
2020-07-23,94.98,90.91,95.06,90.1
2020-07-24,89.09,90.69,91.04,87.29
2020-07-27,91.76,92.84,92.93,91.53
2020-07-28,92.4,91.31,92.58,91.31
2020-07-29,91.8,93.06,93.25,91.76
