begin,open,close,high,low
2022-02-14,111.9,115.03,115.67,111.9
2022-02-15,115.19,114.91,115.24,113.63
2022-02-16,116.35,112.43,116.64,112.43
2022-02-17,113.24,111.78,113.24,110.81
2022-02-20,112.08,104.98,113.28,104.01
2022-02-21,103.52,110.03,111.82,103.23
2022-02-22,111.28,109.35,113.73,109.35
2022-02-23,103.89,107.27,107.55,102.06
2022-02-24,108.79,112.74,112.81,105.54
2022-02-27,118.59,110.15,123.25,107.92
2022-02-28,111.76,101.38,111.76,100.12
2022-03-01,100.31,105.95,107.41,99.63
2022-03-02,107.2,100.18,107.2,100.18
2022-03-03,99.63,94.57,100.2,94.27
2022-03-06,92.54,90.27,94.1,87.95
2022-03-07,89.89,94.32,96.12,89.43
2022-03-08,94.33,101.75,102.04,94.33
2022-03-09,100.37,98.29,100.64,95.11
2022-03-10,97.48,99.96,103.09,97.48
2022-03-13,102.34,101.42,104.18,100.68
2022-03-14,101.36,100.14,101.36,98.76
2022-03-15,102.36,103.07,105.95,102.02
2022-03-16,104.63,103.74,104.63,102.82
2022-03-17,103.97,103.81,104.28,101.71
2022-03-20,103.11,102.39,103.7,101.56
2022-03-21,101.83,105.41,105.7,101.79
2022-03-22,105.89,103.79,105.89,103.64
2022-03-23,103.75,104.94,104.96,103.75
2022-03-24,104.92,105.37,106.05,104.01
2022-03-27,104.34,105.08,105.93,104.34
2022-03-28,105.49,109.84,110.21,105.49
2022-03-29,109.84,108.07,109.84,107.47
2022-03-30,108.36,106.83,108.36,106.32
2022-03-31,107.51,108.28,108.28,107.39
2022-04-03,109.26,107.14,109.26,105.1
2022-04-04,106.87,102.3,106.87,100.82
2022-04-05,101.87,100.88,102.49,100.66
2022-04-06,100.43,99.34,101.69,98.95
2022-04-07,100.29,100.33,102.04,99.83
2022-04-10,99.63,101.29,102.2,99.03
2022-04-11,100.9,101.56,101.73,99.83
2022-04-12,101.42,101.4,101.64,100.99
2022-04-13,101.77,103.13,103.46,101.77
2022-04-18,102.66,103.19,103.27,101.73
2022-04-19,103.29,104.06,104.61,102.94
2022-04-20,104.49,105.5,107.69,104.49
2022-04-21,105.2,103.63,105.97,103.37
2022-04-24,101.93,103.7,103.7,101.52
2022-04-25,103.51,100.39,103.96,100.39
2022-04-26,100.47,100.94,100.94,99.58
2022-04-27,101.3,101.95,103.57,101.3
2022-04-28,102.68,104.0,104.87,102.68
2022-05-01,103.03,102.05,103.41,102.05
2022-05-02,103.25,105.16,105.54,102.97
2022-05-03,105.08,107.18,107.18,101.14
2022-05-04,105.99,107.87,109.68,105.99
2022-05-05,106.96,105.54,109.44,105.16
2022-05-08,104.24,103.55,105.79,102.54
2022-05-09,104.02,104.1,105.83,103.25
2022-05-10,103.63,104.99,105.91,103.63
2022-05-11,103.51,102.23,104.16,101.48
2022-05-12,103.74,104.57,104.95,102.9
2022-05-15,104.73,104.34,104.93,103.33
2022-05-16,105.12,107.45,107.63,105.12
2022-05-17,107.25,106.7,107.25,106.7
2022-05-18,104.93,105.78,105.78,104.06
2022-05-19,106.13,105.5,107.23,105.36
2022-05-22,107.0,105.2,107.02,104.45
2022-05-23,104.63,101.48,104.63,101.48
2022-05-24,102.21,103.35,103.45,102.19
2022-05-25,102.88,106.94,107.57,102.88
2022-05-26,107.12,109.84,110.53,106.92
2022-05-29,110.67,111.22,111.41,110.67
2022-05-30,110.71,107.94,110.71,107.63
2022-05-31,108.04,107.69,108.54,106.49
2022-06-01,106.7,107.92,108.08,106.7
2022-06-02,108.36,107.02,108.4,107.02
2022-06-05,108.2,110.13,110.13,108.2
2022-06-06,108.65,109.29,109.58,108.65
2022-06-07,108.99,107.0,109.54,106.98
2022-06-08,105.78,104.36,105.78,103.72
2022-06-09,102.99,100.9,103.72,100.57
2022-06-12,99.45,96.63,99.74,95.64
2022-06-13,96.47,95.08,97.15,94.12
2022-06-14,95.81,95.26,96.39,95.06
2022-06-15,95.88,91.87,95.98,91.7
2022-06-16,92.48,93.67,95.57,92.33
2022-06-19,92.92,96.62,96.63,92.92
2022-06-20,96.63,94.59,97.21,94.59
2022-06-21,93.59,91.52,93.59,91.52
2022-06-22,91.88,90.0,91.88,89.23
2022-06-23,90.48,91.75,91.85,89.84
2022-06-26,91.55,91.82,93.22,91.55
2022-06-27,91.52,92.89,94.74,91.52
2022-06-28,93.42,91.1,93.42,90.98
2022-06-29,90.15,91.0,91.63,89.64
2022-06-30,90.32,95.99,95.99,90.32
2022-07-03,94.9,92.33,95.52,92.12
2022-07-04,92.37,88.74,92.6,87.73
2022-07-05,89.21,91.6,91.6,89.21
2022-07-06,92.75,93.52,93.53,92.25
2022-07-07,93.27,94.43,94.43,93.22
2022-07-10,93.74,95.45,95.84,93.13
2022-07-11,94.86,98.62,99.29,94.06
2022-07-12,98.43,99.88,100.19,98.01
2022-07-13,100.08,97.33,100.08,97.33
2022-07-14,98.79,101.89,102.52,98.57
2022-07-17,102.44,102.78,103.53,102.09
2022-07-18,102.32,103.84,105.16,101.89
2022-07-19,104.24,102.94,104.73,102.94
2022-07-20,103.15,103.29,104.24,102.7
2022-07-21,103.01,103.55,105.76,103.01
2022-07-24,104.51,104.59,104.59,103.78
2022-07-25,103.98,103.53,104.77,103.43
2022-07-26,103.63,100.37,104.69,99.58
2022-07-27,101.06,99.58,101.87,98.19
2022-07-28,102.05,102.76,103.23,101.81
2022-07-31,103.05,100.67,103.82,100.67
