begin,open,close,high,low
2022-02-17,114.37,111.78,114.5,110.99
2022-02-20,112.79,109.0,113.86,108.58
2022-02-21,106.42,110.89,111.96,105.76
2022-02-22,111.36,110.75,114.02,109.88
2022-02-23,105.21,105.87,107.88,102.76
2022-02-24,106.92,112.68,112.68,105.46
2022-02-27,112.23,111.69,112.87,107.8
2022-02-28,111.28,101.27,112.02,101.27
2022-03-01,101.09,106.61,108.01,99.32
2022-03-02,106.01,102.08,106.9,101.34
2022-03-03,100.12,94.38,100.64,94.12
2022-03-06,88.94,91.36,95.67,87.72
2022-03-07,88.77,91.5,95.09,87.95
2022-03-08,94.89,100.25,100.57,93.58
2022-03-09,100.31,97.0,100.64,94.77
2022-03-10,97.1,100.66,103.38,96.92
2022-03-13,102.06,101.64,104.57,101.42
2022-03-14,99.75,100.24,101.03,98.37
2022-03-15,102.94,103.83,106.46,101.77
2022-03-16,103.68,104.24,104.55,102.02
2022-03-17,103.81,103.17,104.51,100.99
2022-03-20,102.67,102.37,103.83,101.87
2022-03-21,102.43,105.23,105.45,102.28
2022-03-22,105.35,104.24,105.89,103.56
2022-03-23,104.24,104.4,105.17,103.21
2022-03-24,104.77,104.53,106.22,103.68
2022-03-27,104.12,104.69,106.28,104.12
2022-03-28,106.53,110.38,110.6,105.95
2022-03-29,109.35,108.24,109.76,107.23
2022-03-30,108.54,107.27,109.2,107.08
2022-03-31,107.0,107.91,108.61,106.67
2022-04-03,108.63,107.02,108.79,104.98
2022-04-04,106.51,102.3,107.0,100.6
2022-04-05,102.02,100.9,103.54,100.2
2022-04-06,101.23,99.13,102.37,98.87
2022-04-07,100.8,100.51,102.24,99.67
2022-04-10,99.71,101.52,102.41,98.72
2022-04-11,99.61,101.73,102.41,98.89
2022-04-12,100.92,101.44,102.2,100.64
2022-04-13,101.52,103.15,103.83,101.34
2022-04-18,102.72,102.76,103.55,100.86
2022-04-19,103.41,104.33,105.18,102.88
2022-04-20,104.31,107.0,108.18,104.1
2022-04-21,104.55,103.19,106.23,103.15
2022-04-24,101.06,101.55,103.62,100.77
2022-04-25,103.19,100.61,104.18,100.47
2022-04-26,100.67,100.69,101.51,99.15
2022-04-27,101.67,101.89,103.72,100.35
2022-04-28,102.64,104.06,105.2,102.24
2022-05-01,103.51,102.52,103.92,101.69
2022-05-02,103.33,105.04,105.04,102.78
2022-05-03,105.2,101.14,106.03,101.14
2022-05-04,107.47,107.49,109.7,106.68
2022-05-05,106.96,105.99,109.88,105.26
2022-05-08,104.04,102.26,106.68,102.26
2022-05-09,105.5,103.13,106.03,103.13
2022-05-10,104.89,105.97,106.44,103.61
2022-05-11,102.95,102.93,104.35,101.2
2022-05-12,103.98,104.87,104.87,102.42
