begin,open,close,high,low
2023-09-12,209.35,210.65,212.26,208.58
2023-09-13,210.0,208.4,212.18,207.75
2023-09-14,209.14,209.05,210.44,208.1
2023-09-15,209.28,208.11,209.83,206.88
2023-09-18,207.91,205.12,207.91,204.98
2023-09-19,205.4,204.48,205.66,202.39
2023-09-20,205.87,202.37,206.25,202.31
2023-09-21,201.0,199.95,203.6,199.71
2023-09-22,199.96,197.71,200.74,197.14
2023-09-25,196.84,198.78,198.98,195.19
2023-09-26,197.79,195.64,199.39,195.42
2023-09-27,196.01,195.46,196.4,192.77
2023-09-28,193.7,190.43,195.26,190.03
2023-09-29,191.92,191.68,192.95,190.17
2023-10-02,191.47,187.83,192.44,186.93
2023-10-03,188.63,188.92,192.49,188.2
2023-10-04,188.85,186.73,190.63,184.34
2023-10-05,186.16,186.29,188.1,184.14
2023-10-06,185.37,187.38,188.64,182.55
2023-10-09,188.0,188.49,189.49,185.68
2023-10-10,190.01,193.53,194.3,188.76
2023-10-11,195.47,196.07,199.62,194.27
2023-10-12,195.1,191.3,195.7,189.96
2023-10-13,186.27,184.91,187.29,183.18
2023-10-16,185.91,184.93,186.23,182.5
2023-10-17,183.75,185.6,188.33,183.3
2023-10-18,187.22,185.69,190.25,185.05
2023-10-19,185.5,182.79,187.05,182.54
2023-10-20,182.68,180.04,183.39,179.85
2023-10-23,179.44,181.03,183.72,178.43
2023-10-24,183.21,182.36,184.35,181.8
2023-10-25,186.0,177.73,187.0,176.25
2023-10-26,177.11,179.09,182.95,176.53
2023-10-27,180.0,179.69,182.33,179.01
2023-10-30,179.42,182.35,184.16,179.42
2023-10-31,183.38,186.82,187.29,181.32
2023-11-01,189.69,189.38,190.78,187.5
2023-11-02,190.9,192.01,192.94,190.34
2023-11-03,194.0,195.05,197.14,193.71
2023-11-06,195.88,192.95,196.15,192.46
2023-11-07,192.17,191.41,192.17,189.57
2023-11-08,191.45,191.83,192.44,190.14
2023-11-09,193.03,193.33,197.07,192.56
2023-11-10,195.0,196.65,197.26,194.21
2023-11-13,203.49,204.54,206.85,202.51
2023-11-14,207.25,207.47,208.56,205.98
2023-11-15,208.21,208.71,211.09,207.6
2023-11-16,207.5,206.6,207.89,204.81
2023-11-17,208.36,208.04,209.42,206.82
2023-11-20,211.01,217.71,218.88,210.94
2023-11-21,216.5,218.27,219.38,216.07
2023-11-22,218.0,219.91,221.5,217.7
2023-11-24,220.61,220.0,221.59,218.96
2023-11-27,218.81,219.3,219.53,217.66
2023-11-28,222.01,222.37,224.8,219.41
2023-11-29,223.35,224.43,224.99,221.34
2023-11-30,225.0,231.63,233.0,225.0
2023-12-01,231.77,233.87,235.38,231.38
2023-12-04,231.3,234.87,234.94,230.07
2023-12-05,233.54,234.16,234.74,231.49
2023-12-06,234.78,236.89,239.23,234.43
2023-12-07,236.9,237.33,238.3,230.0
2023-12-08,237.32,244.7,244.7,237.32
2023-12-11,243.5,248.08,248.08,243.31
2023-12-12,247.95,248.63,250.57,247.4
2023-12-13,249.1,250.91,251.87,247.53
2023-12-14,250.91,256.24,257.12,249.26
2023-12-15,255.7,264.27,265.52,255.7
2023-12-18,260.63,260.41,263.13,260.25
2023-12-19,261.04,263.51,265.34,260.8
2023-12-20,262.25,260.25,266.13,260.15
2023-12-21,265.95,262.02,267.54,260.19
2023-12-22,261.83,260.44,262.84,259.2
2023-12-26,259.8,262.79,263.76,259.54
2023-12-27,262.63,262.1,264.66,260.9
2023-12-28,261.53,260.35,262.1,257.68
2023-12-29,260.67,260.66,262.22,259.56
2024-01-02,257.28,251.76,258.59,250.87
2024-01-03,248.32,243.91,250.13,243.0
2024-01-04,244.58,244.94,248.28,244.18
2024-01-05,245.04,249.0,250.19,245.04
2024-01-08,228.0,229.0,233.85,225.79
2024-01-09,225.66,225.76,228.79,223.2
2024-01-10,226.9,227.84,231.61,226.64
2024-01-11,228.07,222.66,228.28,222.62
2024-01-12,219.97,217.7,222.07,217.04
2024-01-16,210.07,200.52,210.98,199.5
2024-01-17,202.63,203.06,206.3,201.65
2024-01-18,205.64,211.61,213.04,203.32
2024-01-19,210.89,215.02,215.16,209.23
2024-01-22,213.07,214.93,217.0,212.36
2024-01-23,215.35,211.5,216.85,211.13
2024-01-24,209.83,214.13,217.59,209.36
2024-01-25,208.2,201.88,208.73,198.32
2024-01-26,203.08,205.47,206.75,203.0
2024-01-29,206.06,205.19,207.04,203.85
2024-01-30,203.65,200.44,203.98,199.14
2024-01-31,204.92,211.04,213.77,203.25
2024-02-01,213.84,209.81,214.63,206.81
2024-02-02,209.06,209.38,209.54,206.35
