begin,open,close,high,low
2022-09-21,18891.28,18547.4,19674.63,18290.31
2022-09-22,18534.65,19413.55,19456.91,18415.59
2022-09-23,19412.4,19297.64,19464.67,18617.55
2022-09-24,19296.99,18937.01,19310.2,18861.97
2022-09-25,18936.31,18802.1,19134.73,18696.47
2022-09-26,18803.9,19222.67,19274.87,18721.29
2022-09-27,19221.84,19110.55,20338.46,18915.67
2022-09-28,19104.62,19426.72,19688.34,18553.3
2022-09-29,19427.78,19573.05,19589.27,18924.35
2022-09-30,19573.43,19431.79,20109.85,19265.66
2022-10-01,19431.11,19312.1,19471.15,19231.08
2022-10-02,19311.85,19044.11,19370.31,18970.62
2022-10-03,19044.07,19623.58,19653.54,19025.23
2022-10-04,19623.58,20336.84,20380.34,19523.84
2022-10-05,20335.9,20160.72,20343.75,19801.8
2022-10-06,20161.04,19955.44,20408.39,19900.09
2022-10-07,19957.56,19546.85,20041.09,19395.79
2022-10-08,19546.33,19416.57,19601.7,19299.41
2022-10-09,19417.48,19446.43,19542.54,19349.26
2022-10-10,19446.42,19141.48,19515.47,19102.98
2022-10-11,19139.0,19051.42,19241.96,18925.6
2022-10-12,19052.65,19157.45,19203.2,19029.76
2022-10-13,19156.97,19382.9,19453.33,18319.82
2022-10-14,19382.53,19185.66,19889.15,19115.41
2022-10-15,19185.44,19067.63,19212.54,19019.25
2022-10-16,19068.91,19268.09,19389.6,19068.91
2022-10-17,19268.56,19550.76,19635.8,19173.33
2022-10-18,19550.47,19334.42,19666.99,19144.77
2022-10-19,19335.03,19139.54,19348.42,19127.69
2022-10-20,19138.09,19053.74,19315.2,18971.46
2022-10-21,19053.2,19172.47,19237.38,18770.97
2022-10-22,19172.38,19208.19,19248.07,19132.24
2022-10-23,19207.73,19567.01,19646.65,19124.2
2022-10-24,19567.77,19345.57,19589.12,19206.32
2022-10-25,19344.96,20095.86,20348.41,19261.45
2022-10-26,20092.24,20770.44,20938.13,20076.12
2022-10-27,20772.8,20285.84,20854.04,20255.37
2022-10-28,20287.96,20595.35,20724.98,20086.07
2022-10-29,20595.1,20818.48,20988.39,20566.48
2022-10-30,20817.98,20635.6,20917.01,20547.46
2022-10-31,20633.7,20495.77,20795.32,20287.46
2022-11-01,20494.9,20485.27,20647.29,20359.85
2022-11-02,20482.96,20159.5,20742.81,20087.13
2022-11-03,20162.69,20209.99,20382.1,20086.24
2022-11-04,20208.77,21147.23,21209.56,20188.02
2022-11-05,21144.83,21282.69,21446.89,21097.63
2022-11-06,21285.06,20926.49,21345.38,20920.19
2022-11-07,20924.62,20602.82,21053.25,20489.97
2022-11-08,20600.67,18541.27,20664.61,17603.54
2022-11-09,18543.76,15880.78,18590.46,15682.69
2022-11-10,15883.16,17586.77,18054.31,15834.02
2022-11-11,17583.25,17034.29,17650.94,16543.48
2022-11-12,17036.88,16799.19,17066.68,16651.78
2022-11-13,16799.72,16353.37,16920.77,16320.63
2022-11-14,16352.03,16618.2,17109.32,15872.94
2022-11-15,16617.48,16884.61,17051.96,16542.55
2022-11-16,16884.34,16669.44,16960.29,16430.11
2022-11-17,16670.43,16687.52,16726.44,16460.68
2022-11-18,16687.91,16697.78,16947.06,16564.61
2022-11-19,16696.22,16711.55,16797.88,16570.41
2022-11-20,16712.92,16291.83,16746.78,16248.69
2022-11-21,16291.22,15787.28,16291.22,15599.05
2022-11-22,15782.3,16189.77,16253.05,15656.61
2022-11-23,16195.59,16610.71,16638.19,16170.5
2022-11-24,16611.64,16604.46,16771.47,16501.77
2022-11-25,16602.27,16521.84,16603.32,16388.4
2022-11-26,16521.58,16464.28,16666.86,16416.23
2022-11-27,16463.88,16444.63,16594.41,16437.03
2022-11-28,16440.22,16217.32,16482.93,16054.53
2022-11-29,16217.64,16444.98,16522.26,16139.4
2022-11-30,16445.48,17168.57,17190.94,16445.48
2022-12-01,17168.0,16967.13,17197.5,16888.39
2022-12-02,16968.68,17088.66,17088.66,16877.88
2022-12-03,17090.1,16908.24,17116.04,16888.14
2022-12-04,16908.17,17130.49,17157.77,16903.44
2022-12-05,17128.89,16974.83,17378.15,16922.43
2022-12-06,16975.24,17089.5,17091.86,16939.92
