begin,open,close,high,low
2022-06-14,66.3,65.26,66.8,65.0
2022-06-15,65.26,65.16,65.5,64.1
2022-06-16,65.46,65.1,65.8,64.82
2022-06-17,65.58,64.96,65.86,64.74
2022-06-20,65.0,66.0,66.26,64.9
2022-06-21,66.1,65.78,66.58,65.52
2022-06-22,65.6,65.22,65.92,65.0
2022-06-23,65.78,65.92,66.48,65.0
2022-06-24,66.26,70.56,70.64,66.02
2022-06-27,70.62,70.34,71.66,69.48
2022-06-28,71.4,71.6,72.98,70.66
2022-06-29,72.0,70.56,72.0,69.02
2022-06-30,70.4,68.16,71.56,67.22
2022-07-01,68.16,68.5,68.62,66.16
2022-07-04,68.46,70.4,71.0,67.5
2022-07-05,70.48,70.32,71.7,69.16
2022-07-06,70.1,72.4,72.5,69.52
2022-07-07,72.56,74.9,75.5,70.82
2022-07-08,75.26,75.2,77.5,74.38
2022-07-11,75.16,73.14,76.44,72.7
2022-07-12,73.14,73.5,73.92,71.28
2022-07-13,73.36,71.9,74.96,71.76
2022-07-14,71.86,68.96,72.56,68.5
2022-07-15,69.1,71.92,72.26,68.54
2022-07-18,72.56,73.08,74.98,71.66
2022-07-19,75.26,74.62,76.98,73.72
2022-07-20,75.32,77.42,77.6,74.78
2022-07-21,77.64,76.92,78.98,75.2
2022-07-22,77.2,77.9,78.68,76.92
2022-07-25,78.0,76.7,78.06,75.5
2022-07-26,76.9,79.36,79.9,76.74
2022-07-27,80.0,79.58,82.1,78.62
2022-07-28,79.96,79.24,80.12,77.6
2022-07-29,79.5,79.84,80.6,78.04
2022-08-01,79.78,78.52,81.14,78.02
2022-08-02,78.08,77.36,78.28,76.8
2022-08-03,77.64,78.44,79.38,77.16
2022-08-04,78.74,78.3,79.32,78.02
2022-08-05,78.2,76.4,78.56,76.36
2022-08-08,78.6,76.92,78.6,76.6
2022-08-09,76.92,77.94,78.2,76.48
2022-08-10,78.22,79.34,80.5,77.78
2022-08-11,80.44,80.44,80.8,79.4
2022-08-12,80.96,79.84,81.0,79.04
2022-08-15,80.0,80.78,81.0,79.0
2022-08-16,81.04,83.58,83.96,80.12
2022-08-17,83.96,82.82,84.42,82.12
2022-08-18,82.92,81.8,83.44,81.22
2022-08-19,81.9,83.12,83.98,81.0
2022-08-22,83.7,86.54,86.54,83.2
2022-08-23,86.52,87.5,88.9,86.42
2022-08-24,87.6,86.1,88.3,85.4
2022-08-25,86.14,86.5,88.5,83.8
2022-08-26,86.44,85.9,86.6,84.62
2022-08-29,85.52,85.62,86.9,85.1
2022-08-30,86.6,86.02,86.6,85.66
2022-08-31,85.5,85.0,86.9,83.94
2022-09-01,85.0,84.96,85.76,84.1
2022-09-02,85.72,85.04,85.72,84.4
2022-09-05,85.1,85.56,86.5,84.68
2022-09-06,85.62,84.14,85.86,81.98
2022-09-07,84.14,82.4,84.14,82.2
2022-09-08,82.18,83.12,83.9,81.36
2022-09-09,83.12,82.9,83.8,82.38
2022-09-12,82.9,83.6,84.7,82.3
2022-09-13,83.36,84.84,85.88,83.36
2022-09-14,84.5,83.04,84.76,81.56
2022-09-15,83.24,83.46,83.9,82.56
2022-09-16,83.44,83.14,84.5,82.46
2022-09-19,82.88,83.94,84.32,82.6
2022-09-20,84.0,77.28,84.6,76.32
2022-09-21,69.4,72.62,76.76,65.0
2022-09-22,72.6,73.26,75.12,72.08
2022-09-23,72.5,70.14,73.24,69.72
2022-09-26,69.0,60.2,69.3,55.8
2022-09-27,60.4,63.0,63.3,60.4
2022-09-28,63.0,64.44,64.78,62.0
2022-09-29,64.68,65.4,67.4,63.74
2022-09-30,65.8,65.98,66.76,62.12
2022-10-03,65.98,70.1,70.1,65.48
2022-10-04,70.48,70.26,72.14,68.9
2022-10-05,70.0,71.26,71.78,66.18
2022-10-06,71.26,71.72,72.92,70.8
2022-10-07,71.9,69.02,71.9,68.08
2022-10-10,67.0,69.38,69.78,63.7
2022-10-11,69.62,70.6,71.7,68.38
2022-10-12,70.76,70.34,71.24,69.0
2022-10-13,70.68,69.26,70.68,68.56
2022-10-14,69.7,69.82,69.88,68.88
2022-10-17,70.12,73.38,73.82,69.9
2022-10-18,74.48,71.74,75.3,71.02
2022-10-19,71.2,71.56,71.76,70.0
2022-10-20,71.36,70.86,72.32,70.0
2022-10-21,71.0,71.2,71.96,69.88
2022-10-24,71.9,72.98,73.12,71.14
2022-10-25,72.98,73.52,74.3,70.08
2022-10-26,74.36,74.32,74.4,72.04
2022-10-27,74.44,74.3,74.76,73.44
2022-10-28,73.98,74.14,74.5,72.74
2022-10-31,74.46,74.8,75.0,74.04
2022-11-01,75.2,73.58,75.66,72.82
2022-11-02,73.58,72.76,73.62,72.0
2022-11-03,72.58,72.46,73.3,71.1
2022-11-07,73.54,61.1,75.38,60.3
2022-11-08,60.24,50.44,60.5,45.0
2022-11-09,49.5,49.36,52.14,48.0
2022-11-10,49.2,48.7,49.96,47.5
2022-11-11,48.68,53.5,54.78,48.28
2022-11-14,54.0,64.36,65.52,53.82
2022-11-15,65.9,59.32,65.9,56.58
2022-11-16,59.78,61.8,62.5,58.52
2022-11-17,61.4,63.48,64.0,61.28
2022-11-18,62.82,63.96,64.8,62.62
2022-11-21,63.88,67.26,68.2,63.26
2022-11-22,67.34,69.28,70.86,66.7
2022-11-23,69.0,71.44,71.66,68.34
2022-11-24,71.6,71.28,71.78,70.5
2022-11-25,71.0,71.06,71.24,69.78
2022-11-28,70.8,71.16,71.6,70.14
2022-11-29,71.2,70.38,71.28,69.52
2022-11-30,70.0,70.38,71.26,69.64
2022-12-01,70.38,70.26,70.5,69.92
2022-12-02,70.0,70.62,70.74,70.0
2022-12-05,70.5,69.96,70.64,69.74
2022-12-06,69.7,69.82,70.08,68.58
2022-12-07,69.3,68.58,69.5,68.0
2022-12-08,68.36,68.7,68.74,68.1
2022-12-09,68.9,70.32,70.36,68.36
