begin,open,close,high,low
2022-03-07,2555.3,2518.94,2761.8,2455.59
2022-03-14,2518.49,2860.46,2979.99,2505.3
2022-03-21,2860.1,3291.58,3291.58,2838.25
2022-03-28,3292.32,3522.83,3573.96,3223.89
2022-04-04,3522.36,3211.87,3546.71,3155.58
2022-04-11,3209.58,2993.4,3214.46,2957.87
2022-04-18,2993.48,2922.73,3173.45,2893.91
2022-04-25,2922.99,2827.76,3026.42,2727.41
2022-05-02,2827.61,2517.46,2956.69,2498.43
2022-05-09,2518.51,2145.71,2528.26,1748.3
2022-05-16,2145.84,2043.17,2145.84,1907.02
2022-05-23,2042.34,1812.03,2080.33,1721.26
2022-05-30,1811.89,1805.2,2005.49,1746.51
2022-06-06,1805.64,1445.22,1915.03,1436.18
2022-06-13,1443.84,1127.66,1448.74,896.11
2022-06-20,1127.66,1199.83,1272.13,1049.76
2022-06-27,1199.71,1073.77,1234.18,1009.09
2022-07-04,1073.79,1168.4,1262.89,1048.4
2022-07-11,1168.14,1338.64,1378.42,1019.22
2022-07-18,1338.81,1599.48,1654.43,1338.81
2022-07-25,1599.16,1681.52,1774.58,1362.95
2022-08-01,1681.45,1699.35,1744.33,1567.85
2022-08-08,1699.69,1936.8,2022.79,1665.09
2022-08-15,1936.76,1619.32,2007.21,1534.3
2022-08-22,1619.17,1430.55,1718.18,1430.55
2022-08-29,1430.44,1577.64,1643.18,1427.73
2022-09-05,1577.88,1761.8,1784.5,1500.01
2022-09-12,1762.08,1335.33,1778.16,1331.49
2022-09-19,1335.27,1294.22,1388.27,1229.43
2022-09-26,1294.39,1276.09,1396.89,1267.87
2022-10-03,1276.16,1322.6,1380.4,1271.15
2022-10-10,1322.62,1306.3,1339.74,1209.28
2022-10-17,1306.31,1363.45,1367.76,1260.67
2022-10-24,1363.49,1590.78,1652.38,1327.85
2022-10-31,1590.48,1572.23,1661.33,1507.24
2022-11-07,1572.02,1221.82,1604.48,1083.29
2022-11-14,1221.9,1142.47,1284.22,1137.93
2022-11-21,1142.4,1195.13,1227.04,1081.14
2022-11-28,1194.96,1280.26,1302.04,1156.06
2022-12-05,1280.0,1263.87,1302.24,1224.45
2022-12-12,1263.57,1184.72,1346.17,1162.18
2022-12-19,1184.76,1218.96,1227.0,1160.38
2022-12-26,1218.92,1200.96,1230.42,1185.7
2023-01-02,1201.1,1287.36,1287.36,1195.21
2023-01-09,1287.45,1552.48,1563.74,1286.68
2023-01-16,1552.52,1628.38,1674.18,1509.42
2023-01-23,1628.55,1646.16,1653.72,1530.8
2023-01-30,1646.15,1631.65,1704.46,1546.66
2023-02-06,1631.65,1515.03,1688.53,1501.46
2023-02-13,1514.92,1681.44,1732.8,1470.02
2023-02-20,1682.34,1640.82,1716.49,1567.63
2023-02-27,1640.76,1564.47,1672.05,1551.74
2023-03-06,1564.38,1590.29,1607.15,1378.53
2023-03-13,1590.83,1785.58,1843.84,1572.07
2023-03-20,1785.42,1775.68,1853.89,1716.65
2023-03-27,1775.48,1795.71,1844.68,1690.52
2023-04-03,1794.92,1859.39,1937.5,1765.52
2023-04-10,1859.74,2120.01,2137.45,1848.16
2023-04-17,2120.0,1862.06,2121.53,1827.79
2023-04-24,1862.09,1876.92,1962.57,1792.46
2023-05-01,1868.89,1873.08,2017.56,1809.19
2023-05-08,1872.48,1800.5,1886.8,1742.4
2023-05-15,1800.37,1804.53,1845.7,1774.2
2023-05-22,1804.84,1910.91,1915.72,1763.37
2023-05-29,1909.3,1890.51,1926.42,1846.23
2023-06-05,1890.42,1753.42,1896.22,1721.44
2023-06-12,1753.08,1720.58,1766.76,1624.14
2023-06-19,1720.51,1900.51,1932.53,1705.81
2023-06-26,1900.05,1937.44,1958.16,1822.1
2023-07-03,1937.88,1863.01,1974.78,1832.03
2023-07-10,1863.24,1923.68,2026.2,1848.78
2023-07-17,1923.69,1889.19,1936.18,1855.09
2023-07-24,1888.81,1861.64,1889.76,1836.85
2023-07-31,1861.76,1827.46,1877.51,1817.41
2023-08-07,1827.24,1839.28,1873.85,1804.72
2023-08-14,1839.32,1684.85,1853.84,1551.71
2023-08-21,1685.02,1657.51,1696.59,1596.38
2023-08-28,1657.44,1636.12,1742.64,1603.03
2023-09-04,1635.72,1616.83,1657.3,1604.04
2023-09-11,1616.77,1622.9,1652.11,1533.43
2023-09-18,1623.08,1580.85,1669.02,1573.31
2023-09-25,1580.75,1733.81,1750.6,1565.03
2023-10-02,1732.98,1633.55,1743.56,1609.85
2023-10-09,1633.45,1558.07,1635.45,1523.24
2023-10-16,1558.31,1663.43,1667.67,1543.59
2023-10-23,1674.85,1795.55,1865.1,1663.45
2023-10-30,1795.59,1894.16,1911.61,1779.36
2023-11-06,1894.03,2045.19,2134.69,1852.79
2023-11-13,2045.35,2013.2,2116.01,1910.45
2023-11-20,2011.85,2063.29,2132.48,1933.16
2023-11-27,2062.39,2193.69,2213.18,1988.12
2023-12-04,2193.66,2352.46,2401.76,2191.18
2023-12-11,2352.5,2196.48,2354.91,2150.75
2023-12-18,2195.34,2265.69,2341.95,2120.13
2023-12-25,2265.34,2281.47,2445.02,2180.23
2024-01-01,2282.87,2222.87,2431.21,2113.93
2024-01-08,2222.86,2472.24,2710.42,2171.99
2024-01-15,2471.67,2453.91,2613.57,2414.71
2024-01-22,2454.99,2257.21,2463.45,2167.28
2024-01-29,2257.0,2308.03,2388.87,2237.71
