begin,open,close,high,low
2022-01-19,299.0,318.36,320.42,282.72
2022-01-20,318.4,310.42,326.69,310.07
2022-01-21,309.49,311.6,321.99,303.5
2022-01-24,310.8,294.59,314.0,280.6
2022-01-25,293.94,302.96,305.0,289.62
2022-01-26,302.9,299.6,307.7,293.7
2022-01-27,296.93,325.25,330.0,294.0
2022-01-28,325.5,329.58,334.9,322.05
2022-01-31,330.9,334.8,336.41,330.52
2022-02-01,334.95,330.95,336.63,325.3
2022-02-02,332.39,331.7,333.7,325.7
2022-02-03,330.0,323.75,331.0,322.3
2022-02-04,325.5,324.6,334.5,320.88
2022-02-07,324.51,321.25,327.44,316.64
2022-02-08,321.45,331.7,331.87,319.0
2022-02-09,332.3,335.08,336.0,330.18
2022-02-10,335.41,328.93,335.47,328.1
2022-02-11,328.97,318.1,328.97,316.2
2022-02-14,314.1,321.85,324.9,303.25
2022-02-15,322.43,333.6,335.5,322.43
2022-02-16,335.86,336.5,339.98,331.62
2022-02-17,336.37,323.51,336.37,322.04
2022-02-18,325.51,309.48,329.32,306.7
2022-02-21,309.48,257.3,318.9,241.0
2022-02-22,253.95,283.51,284.07,246.7
2022-02-24,255.02,210.0,255.02,126.53
2022-02-25,208.01,228.0,244.94,191.6
2022-03-24,251.41,258.51,278.9,232.0
2022-03-25,263.99,227.0,269.33,225.6
2022-03-28,225.0,218.6,229.45,213.03
2022-03-29,220.0,208.0,226.0,206.0
2022-03-30,211.0,216.0,219.41,210.52
2022-03-31,218.98,242.48,249.0,217.1
2022-04-01,245.9,251.4,258.7,242.48
2022-04-04,254.03,252.9,259.99,237.31
2022-04-05,254.0,243.5,256.39,231.45
2022-04-06,238.41,239.7,247.8,234.41
2022-04-07,240.04,245.0,246.8,239.13
2022-04-08,246.79,241.07,246.79,240.0
2022-04-11,241.9,234.55,242.78,234.16
2022-04-12,234.0,236.3,236.63,223.0
2022-04-13,238.0,234.87,239.64,232.13
2022-04-14,235.0,222.11,235.5,221.1
2022-04-15,222.0,224.0,226.65,215.74
2022-04-18,224.1,216.99,226.0,216.6
2022-04-19,216.9,220.72,222.0,207.0
2022-04-20,221.43,218.92,229.84,215.63
2022-04-21,220.0,210.29,221.0,210.29
2022-04-22,210.5,208.0,215.0,207.01
2022-04-25,209.95,206.35,209.95,201.12
2022-04-26,207.97,225.85,229.74,206.54
2022-04-27,226.01,237.15,237.5,221.61
2022-04-28,239.4,237.53,249.0,235.5
2022-04-29,238.55,240.4,245.43,238.0
2022-05-04,241.0,234.16,244.39,233.12
2022-05-05,235.54,238.6,239.4,235.08
2022-05-06,238.5,240.1,242.92,235.1
2022-05-11,239.8,241.99,243.35,237.58
2022-05-12,241.89,230.56,241.89,227.22
2022-05-13,232.5,235.52,237.2,229.02
2022-05-16,234.0,244.2,246.95,233.11
2022-05-17,246.01,258.8,260.0,245.3
2022-05-18,261.1,264.84,269.42,261.0
2022-05-19,268.0,266.68,269.78,262.65
2022-05-20,268.46,263.0,268.9,260.41
2022-05-23,265.44,263.0,273.0,263.0
2022-05-24,263.0,265.8,267.29,250.4
2022-05-25,268.48,271.4,271.66,263.8
2022-05-26,273.0,295.89,298.31,245.0
2022-05-27,300.0,294.5,305.0,293.53
2022-05-30,298.61,300.8,302.0,296.28
2022-05-31,302.0,293.75,302.0,293.51
2022-06-01,293.5,297.69,299.5,290.25
2022-06-02,297.69,296.0,299.33,294.9
2022-06-03,296.05,297.0,297.24,291.0
2022-06-06,298.0,296.5,299.0,295.12
2022-06-07,297.42,297.99,298.69,294.52
2022-06-08,298.8,308.0,309.6,298.16
2022-06-09,310.0,306.5,310.52,303.2
2022-06-10,306.48,309.2,310.98,305.06
2022-06-14,308.98,317.69,322.77,307.0
2022-06-15,319.0,316.2,322.99,314.11
2022-06-16,316.5,316.99,318.25,314.5
2022-06-17,317.54,315.5,317.7,313.5
2022-06-20,316.06,311.98,318.0,311.0
2022-06-21,312.31,301.58,312.86,300.77
2022-06-22,300.1,295.8,301.91,294.36
2022-06-23,295.81,303.5,304.6,291.1
2022-06-24,304.0,296.0,307.45,295.55
2022-06-27,296.0,296.2,299.8,295.1
2022-06-28,296.9,297.2,303.88,293.22
2022-06-29,297.91,297.65,300.78,293.8
2022-06-30,299.5,207.0,310.82,200.0
2022-07-01,200.48,192.5,201.85,186.2
2022-07-04,191.99,186.25,195.44,181.2
2022-07-05,186.25,197.3,199.87,185.2
2022-07-06,197.78,195.42,205.78,194.44
2022-07-07,195.42,197.92,199.47,192.36
2022-07-08,200.0,198.0,201.87,196.57
2022-07-11,198.0,188.9,199.43,188.79
2022-07-12,189.15,191.4,193.0,184.0
2022-07-13,191.22,186.0,194.0,185.3
2022-07-14,186.37,184.55,188.1,183.11
2022-07-15,184.6,187.61,188.9,183.22
2022-07-18,189.0,186.7,189.5,185.52
2022-07-19,186.0,189.51,189.6,184.6
2022-07-20,190.0,193.3,195.8,190.0
2022-07-21,194.65,189.59,195.45,188.0
2022-07-22,189.0,192.25,192.95,188.6
2022-07-25,192.6,192.0,194.65,190.56
2022-07-26,192.0,193.95,194.49,191.2
2022-07-27,194.5,196.49,197.5,194.1
2022-07-28,198.0,196.25,198.79,195.0
2022-07-29,196.25,195.26,196.8,193.5
2022-08-01,194.5,192.0,194.69,192.0
2022-08-02,191.56,187.16,191.68,186.8
2022-08-03,187.51,187.04,188.97,186.31
2022-08-04,187.0,184.9,187.22,184.3
2022-08-05,184.7,176.58,185.62,175.75
2022-08-08,180.0,177.86,181.82,177.25
2022-08-09,178.0,181.04,181.38,175.2
2022-08-10,181.04,178.81,182.33,178.53
2022-08-11,179.49,174.1,180.63,173.51
2022-08-12,174.5,174.36,175.88,172.29
2022-08-15,174.01,174.8,175.5,172.4
2022-08-16,175.5,181.3,181.61,174.7
2022-08-17,181.9,176.5,182.49,176.4
2022-08-18,176.3,178.87,179.37,175.5
2022-08-19,178.78,177.6,178.9,176.6
2022-08-22,177.4,181.7,182.2,176.88
2022-08-23,182.39,184.3,185.8,182.1
2022-08-24,184.7,182.83,186.66,182.19
2022-08-25,183.0,181.9,184.6,180.8
2022-08-26,181.7,183.62,184.2,180.5
2022-08-29,183.15,190.0,190.0,182.65
2022-08-30,190.45,204.0,204.2,190.45
2022-08-31,224.4,254.9,275.96,224.4
2022-09-01,258.0,249.11,259.85,247.62
2022-09-02,249.68,252.8,253.95,246.22
2022-09-05,251.0,250.0,252.11,248.55
2022-09-06,249.99,246.0,250.2,241.0
2022-09-07,245.8,241.55,245.8,241.55
2022-09-08,241.55,243.95,245.3,237.84
2022-09-09,244.48,245.34,247.2,242.16
2022-09-12,243.99,243.3,247.0,241.06
2022-09-13,243.9,242.64,245.29,241.8
2022-09-14,242.29,243.32,243.39,240.0
2022-09-15,243.32,243.68,244.3,241.91
2022-09-16,243.67,243.8,248.2,241.83
2022-09-19,243.19,244.21,245.91,242.71
2022-09-20,242.4,221.15,243.45,200.01
2022-09-21,196.5,214.07,218.78,192.0
2022-09-22,215.01,231.45,237.77,215.01
2022-09-23,233.4,224.84,234.5,222.22
2022-09-26,219.0,206.0,221.9,200.62
2022-09-27,211.36,217.3,217.36,207.12
2022-09-28,217.0,217.38,223.7,208.66
2022-09-29,219.5,226.46,226.8,210.51
2022-09-30,231.68,217.7,238.72,189.42
2022-10-03,219.0,215.83,220.55,213.63
2022-10-04,216.48,210.72,216.7,208.8
2022-10-05,211.5,209.05,211.5,202.85
2022-10-06,210.0,212.86,216.88,209.06
2022-10-07,212.84,195.15,212.84,195.01
2022-10-10,181.26,163.89,181.26,137.1
2022-10-11,163.89,162.89,165.2,159.62
2022-10-12,163.5,161.8,164.0,160.31
2022-10-13,161.69,160.84,162.45,159.48
2022-10-14,161.0,159.6,161.16,158.64
2022-10-17,160.0,163.24,163.8,159.6
2022-10-18,164.0,160.2,164.64,159.1
2022-10-19,159.1,161.29,161.5,157.4
2022-10-20,161.69,160.75,162.48,160.15
2022-10-21,160.0,166.99,169.96,159.03
2022-10-24,168.0,165.47,168.88,164.82
2022-10-25,166.0,172.38,174.69,164.22
2022-10-26,173.16,171.98,173.42,168.7
2022-10-27,172.5,172.47,173.98,171.3
2022-10-28,171.89,170.73,172.35,169.41
2022-10-31,170.73,170.27,171.5,169.21
2022-11-01,170.9,169.92,171.29,169.75
2022-11-02,169.92,167.72,170.45,167.1
2022-11-03,167.01,169.14,169.65,166.68
2022-11-07,171.01,169.85,171.59,169.52
2022-11-08,170.05,169.97,172.0,169.17
2022-11-09,169.84,167.1,170.32,166.15
2022-11-10,167.5,168.9,170.18,167.18
2022-11-11,169.27,169.86,170.6,167.51
2022-11-14,170.84,169.6,171.92,166.51
2022-11-15,171.08,166.25,171.3,161.79
2022-11-16,166.6,168.76,169.15,166.6
2022-11-17,168.8,168.99,169.8,168.01
2022-11-18,169.2,168.79,169.25,167.51
2022-11-21,168.55,168.13,168.67,167.0
2022-11-22,167.89,168.08,168.5,167.45
2022-11-23,168.2,169.15,170.6,167.5
2022-11-24,169.41,168.96,170.87,168.6
2022-11-25,169.48,169.03,169.53,168.1
2022-11-28,168.0,168.1,168.67,167.52
2022-11-29,168.59,168.1,169.0,167.92
2022-11-30,167.99,167.7,168.19,167.6
2022-12-01,167.99,166.98,168.76,166.31
2022-12-02,167.0,165.86,167.19,164.18
2022-12-05,165.59,165.03,167.2,164.58
2022-12-06,165.02,164.3,165.68,163.12
2022-12-07,164.3,163.7,164.33,162.7
2022-12-08,163.56,163.0,163.99,162.71
2022-12-09,163.0,162.75,163.48,162.4
2022-12-12,163.24,162.89,163.81,161.85
