begin,open,close,high,low
2012-03-02,15.57,15.55,15.62,15.52
2012-03-05,15.53,15.37,15.58,15.3
2012-03-06,15.22,15.14,15.24,14.86
2012-03-07,15.24,15.19,15.3,15.16
2012-03-08,15.27,15.19,15.3,15.17
2012-03-09,15.21,15.02,15.31,15.02
2012-03-12,15.02,15.14,15.19,15.0
2012-03-13,15.23,15.46,15.46,15.15
2012-03-14,15.39,15.42,15.59,15.35
2012-03-15,15.43,15.54,15.6,15.39
2012-03-16,15.54,15.64,15.66,15.52
2012-03-19,15.59,15.87,15.95,15.55
2012-03-20,15.79,15.85,15.92,15.7
2012-03-21,15.88,16.02,16.2,15.83
2012-03-22,15.98,16.17,16.24,15.79
2012-03-23,16.18,16.08,16.23,16.04
2012-03-26,16.14,16.25,16.25,16.0
2012-03-27,16.19,16.19,16.35,16.14
2012-03-28,16.32,16.41,16.48,16.29
2012-03-29,16.35,16.23,16.43,16.12
2012-03-30,16.31,16.05,16.35,16.04
2012-04-02,16.04,16.19,16.2,15.89
2012-04-03,16.15,16.08,16.21,15.98
2012-04-04,15.98,15.89,15.99,15.79
2012-04-05,15.82,15.82,15.93,15.73
2012-04-09,15.73,15.79,15.9,15.65
2012-04-10,15.85,15.69,15.88,15.63
2012-04-11,15.87,15.91,15.92,15.8
2012-04-12,16.07,16.29,16.34,16.02
2012-04-13,16.2,15.63,16.24,15.6
2012-04-16,15.59,15.17,15.61,15.06
2012-04-17,15.23,15.25,15.46,15.19
2012-04-18,15.22,15.2,15.34,15.09
2012-04-19,15.16,15.0,15.42,14.99
2012-04-20,15.12,14.92,15.24,14.91
2012-04-23,14.84,14.95,14.98,14.77
2012-04-24,14.97,15.05,15.18,14.95
2012-04-25,15.12,15.26,15.3,15.09
2012-04-26,15.29,15.4,15.47,15.26
2012-04-27,15.39,15.39,15.43,15.28
2012-04-30,15.34,15.14,15.42,15.03
2012-05-01,15.11,15.13,15.31,15.02
2012-05-02,15.05,15.2,15.22,15.03
2012-05-03,15.26,15.29,15.39,15.24
2012-05-04,15.16,14.94,15.21,14.94
2012-05-07,14.89,15.2,15.28,14.89
2012-05-08,15.15,15.34,15.44,15.03
2012-05-09,15.19,15.24,15.42,15.06
2012-05-10,15.34,15.36,15.42,15.27
2012-05-11,15.27,15.15,15.38,15.13
2012-05-14,15.03,15.12,15.23,15.03
2012-05-15,15.15,15.29,15.39,15.11
2012-05-16,15.46,15.74,15.77,15.41
2012-05-17,15.86,15.59,15.96,15.55
2012-05-18,15.64,15.03,15.83,14.93
2012-05-21,15.03,15.37,15.41,15.02
2012-05-22,15.35,15.04,15.36,14.91
2012-05-23,15.06,15.25,15.26,14.94
2012-05-24,15.24,15.11,15.31,14.99
2012-05-25,15.04,14.8,15.06,14.72
2012-05-29,14.91,14.87,14.99,14.72
2012-05-30,14.72,14.72,14.81,14.6
2012-05-31,14.73,14.54,14.76,14.49
2012-06-01,14.31,14.29,14.33,14.22
2012-06-04,14.27,14.48,14.53,14.26
2012-06-05,14.4,14.27,14.47,14.18
2012-06-06,14.43,14.53,14.56,14.35
2012-06-07,14.7,14.47,14.71,14.45
2012-06-08,14.41,14.53,14.54,14.38
