begin,open,close,high,low
2022-01-14,67.8,66.8,67.8,65.0
2022-01-17,67.0,67.1,68.0,64.2
2022-01-18,67.2,65.9,67.3,62.3
2022-01-19,63.6,65.3,65.3,60.9
2022-01-20,66.5,65.3,66.5,64.4
2022-01-21,66.1,64.1,66.1,62.5
2022-01-24,63.7,61.8,63.7,60.2
2022-01-25,59.4,61.7,63.5,59.0
2022-01-26,61.9,61.8,62.0,60.1
2022-01-27,61.8,61.7,61.8,60.1
2022-01-28,61.8,61.6,61.9,60.5
2022-01-31,61.9,61.0,62.9,60.0
2022-02-01,61.0,60.8,62.6,60.0
2022-02-02,60.8,61.1,61.5,60.0
2022-02-03,61.2,61.2,61.2,58.4
2022-02-04,60.9,60.9,61.0,59.8
2022-02-07,61.0,60.8,61.0,60.8
2022-02-08,60.8,61.0,61.0,60.1
2022-02-09,61.0,61.3,65.0,59.9
2022-02-10,61.1,61.9,61.9,60.1
2022-02-11,62.0,62.2,62.2,61.1
2022-02-14,60.6,62.0,62.0,60.2
2022-02-15,62.0,61.9,62.2,61.0
2022-02-16,60.9,61.5,61.9,60.8
2022-02-17,61.1,61.9,61.9,60.4
2022-02-18,61.0,60.9,61.0,58.9
2022-02-21,58.8,56.5,60.4,53.9
2022-02-22,53.0,55.0,56.3,49.8
2022-02-24,51.0,45.5,51.0,40.6
2022-02-25,49.0,50.0,53.9,42.9
2022-03-28,41.1,49.7,63.0,40.0
2022-03-29,54.0,44.7,54.0,41.8
2022-03-30,49.2,49.2,59.8,44.8
2022-03-31,45.6,51.9,57.0,45.6
2022-04-01,51.8,53.0,61.9,48.2
2022-04-04,55.0,59.0,65.9,53.1
2022-04-05,59.0,58.2,68.0,55.3
2022-04-06,56.3,56.9,59.5,54.4
2022-04-07,57.0,56.9,58.6,56.0
2022-04-08,59.0,57.8,73.0,53.5
2022-04-11,57.8,53.7,58.6,53.6
2022-04-12,55.8,54.1,56.2,53.5
2022-04-13,53.7,54.8,54.8,52.0
2022-04-14,55.0,54.5,56.1,52.5
2022-04-15,55.0,54.4,55.0,52.0
2022-04-18,53.2,53.7,54.5,53.1
2022-04-19,53.8,57.0,59.2,53.7
2022-04-20,57.0,55.2,57.0,53.5
2022-04-21,55.2,55.9,57.0,53.5
2022-04-22,56.9,55.9,56.9,53.8
2022-04-25,56.3,56.0,56.3,53.7
2022-04-26,55.7,57.0,57.0,54.1
2022-04-27,57.0,58.6,61.5,56.3
2022-04-28,58.9,56.2,58.9,55.5
2022-04-29,56.2,59.8,60.2,56.2
2022-05-04,59.8,59.0,59.8,56.0
2022-05-05,59.2,59.7,60.0,59.0
2022-05-06,58.0,58.2,60.0,58.0
2022-05-11,58.0,58.1,61.0,58.0
2022-05-12,59.8,59.0,60.0,58.0
2022-05-13,59.8,58.3,59.9,54.0
2022-05-16,58.7,60.0,60.0,57.9
2022-05-17,60.0,61.3,61.4,57.9
2022-05-18,61.2,60.4,64.2,56.6
2022-05-19,60.9,66.0,68.3,58.1
2022-05-20,67.0,63.0,67.0,58.7
2022-05-23,62.5,64.5,64.5,59.8
2022-05-24,64.9,59.0,64.9,56.2
2022-05-25,59.4,62.5,62.5,57.0
2022-05-26,62.5,60.3,62.9,58.3
2022-05-27,59.0,60.4,60.6,58.6
2022-05-30,60.0,59.8,60.6,59.2
2022-05-31,60.6,59.6,60.6,58.5
2022-06-01,59.6,59.4,60.0,58.5
2022-06-02,60.0,59.9,60.0,59.5
2022-06-03,60.3,58.3,60.3,58.0
2022-06-06,59.0,59.0,60.0,58.0
2022-06-07,59.2,58.5,59.2,57.6
2022-06-08,57.4,57.6,58.5,56.3
2022-06-09,57.9,57.1,68.1,56.5
2022-06-10,57.3,55.5,58.8,54.5
