begin,open,close,high,low
1984-06-05,1.16,1.18,1.18,1.16
1984-06-06,1.19,1.19,1.2,1.19
1984-06-07,1.19,1.18,1.19,1.18
1984-06-08,1.19,1.19,1.21,1.18
1984-06-11,1.19,1.18,1.19,1.18
1984-06-12,1.18,1.17,1.18,1.17
1984-06-13,1.17,1.18,1.18,1.17
1984-06-14,1.18,1.19,1.19,1.18
1984-06-15,1.2,1.2,1.2,1.19
1984-06-18,1.2,1.23,1.23,1.2
1984-06-19,1.24,1.24,1.24,1.23
1984-06-20,1.23,1.24,1.24,1.21
1984-06-21,1.24,1.24,1.25,1.23
1984-06-22,1.24,1.25,1.25,1.24
1984-06-25,1.25,1.25,1.27,1.25
1984-06-26,1.25,1.22,1.25,1.22
1984-06-27,1.23,1.2,1.23,1.2
1984-06-28,1.21,1.23,1.23,1.2
1984-06-29,1.23,1.23,1.24,1.23
1984-07-02,1.23,1.23,1.23,1.23
1984-07-03,1.23,1.23,1.23,1.22
1984-07-05,1.23,1.22,1.23,1.22
1984-07-06,1.21,1.22,1.22,1.21
1984-07-09,1.23,1.24,1.25,1.23
1984-07-10,1.25,1.23,1.25,1.23
1984-07-11,1.23,1.22,1.24,1.22
1984-07-12,1.23,1.23,1.23,1.22
1984-07-13,1.23,1.25,1.25,1.23
1984-07-16,1.25,1.27,1.27,1.24
1984-07-17,1.26,1.25,1.26,1.25
1984-07-18,1.25,1.24,1.26,1.24
1984-07-19,1.25,1.25,1.26,1.24
1984-07-20,1.25,1.25,1.25,1.25
1984-07-23,1.25,1.25,1.26,1.24
1984-07-24,1.25,1.24,1.26,1.24
1984-07-25,1.23,1.24,1.25,1.22
1984-07-26,1.25,1.26,1.27,1.25
1984-07-27,1.26,1.3,1.31,1.26
1984-07-30,1.29,1.28,1.3,1.28
1984-07-31,1.29,1.29,1.29,1.28
1984-08-01,1.29,1.3,1.31,1.29
1984-08-02,1.31,1.31,1.31,1.3
1984-08-03,1.32,1.35,1.36,1.31
1984-08-06,1.37,1.38,1.41,1.37
1984-08-07,1.38,1.4,1.41,1.37
1984-08-08,1.4,1.4,1.42,1.38
1984-08-09,1.39,1.41,1.43,1.38
1984-08-10,1.43,1.41,1.43,1.41
1984-08-13,1.41,1.44,1.44,1.4
1984-08-14,1.44,1.41,1.45,1.41
1984-08-15,1.42,1.41,1.43,1.41
1984-08-16,1.41,1.43,1.44,1.41
1984-08-17,1.43,1.43,1.44,1.43
1984-08-20,1.44,1.43,1.45,1.43
1984-08-21,1.43,1.43,1.45,1.43
1984-08-22,1.44,1.42,1.44,1.41
1984-08-23,1.42,1.4,1.42,1.4
1984-08-24,1.41,1.41,1.41,1.4
1984-08-27,1.4,1.4,1.4,1.39
1984-08-28,1.4,1.39,1.4,1.39
1984-08-29,1.39,1.39,1.39,1.38
1984-08-30,1.39,1.37,1.39,1.36
1984-08-31,1.37,1.37,1.37,1.36
1984-09-04,1.36,1.37,1.37,1.36
1984-09-05,1.37,1.38,1.39,1.37
1984-09-06,1.38,1.37,1.39,1.37
1984-09-07,1.38,1.36,1.38,1.35
1984-09-10,1.35,1.35,1.36,1.35
1984-09-11,1.35,1.35,1.36,1.35
1984-09-12,1.35,1.35,1.35,1.35
1984-09-13,1.35,1.37,1.37,1.35
1984-09-14,1.38,1.39,1.39,1.38
1984-09-17,1.38,1.39,1.39,1.38
1984-09-18,1.39,1.37,1.39,1.37
1984-09-19,1.37,1.39,1.4,1.37
1984-09-20,1.36,1.36,1.37,1.35
1984-09-21,1.36,1.36,1.38,1.36
1984-09-24,1.36,1.34,1.36,1.33
1984-09-25,1.32,1.33,1.33,1.31
1984-09-26,1.34,1.34,1.34,1.34
1984-09-27,1.34,1.34,1.35,1.34
1984-09-28,1.33,1.36,1.36,1.33
1984-10-01,1.35,1.33,1.35,1.32
1984-10-02,1.33,1.32,1.34,1.32
1984-10-03,1.32,1.32,1.33,1.32
1984-10-04,1.33,1.34,1.35,1.32
1984-10-05,1.36,1.34,1.36,1.34
1984-10-08,1.34,1.34,1.34,1.34
1984-10-09,1.34,1.34,1.35,1.33
1984-10-10,1.34,1.34,1.34,1.33
1984-10-11,1.34,1.36,1.36,1.34
1984-10-12,1.36,1.39,1.39,1.36
1984-10-15,1.39,1.43,1.44,1.39
1984-10-16,1.43,1.44,1.44,1.43
1984-10-17,1.44,1.45,1.45,1.43
1984-10-18,1.45,1.47,1.47,1.44
1984-10-19,1.5,1.48,1.51,1.47
1984-10-22,1.49,1.48,1.49,1.47
1984-10-23,1.47,1.43,1.47,1.42
1984-10-24,1.44,1.46,1.46,1.44
1984-10-25,1.46,1.46,1.47,1.45
1984-10-26,1.45,1.44,1.45,1.43
1984-10-29,1.44,1.41,1.44,1.41
1984-10-30,1.42,1.42,1.43,1.41
1984-10-31,1.42,1.42,1.43,1.41
1984-11-01,1.42,1.43,1.44,1.41
1984-11-02,1.43,1.43,1.45,1.43
1984-11-05,1.42,1.43,1.43,1.39
