begin,open,close,high,low
2020-04-13,173.67,179.24,181.23,169.45
2020-04-20,177.41,190.07,190.41,168.34
2020-04-27,192.66,202.27,209.69,182.56
2020-05-04,200.2,212.35,213.21,198.76
2020-05-11,210.89,210.88,215.28,200.69
2020-05-18,212.15,234.91,237.2,210.94
2020-05-25,239.77,225.09,240.9,221.13
2020-06-01,224.59,230.77,233.0,223.5
2020-06-08,229.03,228.58,241.21,223.55
2020-06-15,225.09,238.79,240.83,224.8
2020-06-22,238.56,216.08,245.19,215.4
2020-06-29,209.75,233.42,240.0,207.11
2020-07-06,233.76,245.07,247.65,232.27
2020-07-13,247.01,242.03,250.15,232.03
2020-07-20,240.06,230.71,246.91,226.9
2020-07-27,231.46,253.67,255.85,229.0
2020-08-03,252.65,268.44,278.89,247.43
2020-08-10,268.04,261.24,273.86,255.13
2020-08-17,262.5,267.01,270.49,259.26
2020-08-24,271.07,293.66,304.67,268.77
2020-08-31,293.95,282.73,303.6,271.14
2020-09-07,271.28,266.61,279.3,262.64
2020-09-14,270.95,252.53,276.64,250.05
2020-09-21,247.54,254.82,257.99,244.13
2020-09-28,259.4,259.94,268.33,254.82
2020-10-05,262.2,264.45,265.69,254.82
2020-10-12,270.2,265.93,280.18,263.67
2020-10-19,265.53,284.79,285.24,259.88
2020-10-26,283.16,263.11,285.23,259.1
2020-11-02,264.6,293.41,297.38,257.34
2020-11-09,289.87,276.95,292.58,264.0
2020-11-16,275.05,269.7,279.41,269.19
2020-11-23,270.89,277.81,280.18,264.53
2020-11-30,276.03,279.7,291.78,271.01
2020-12-07,279.19,273.55,288.49,270.25
2020-12-14,273.37,276.4,280.44,267.47
2020-12-21,272.98,267.4,274.67,264.63
2020-12-28,268.74,273.16,280.51,265.66
2021-01-04,274.78,267.57,275.0,260.01
2021-01-11,260.48,251.36,263.47,244.61
2021-01-18,256.9,274.5,278.47,252.72
2021-01-25,278.14,258.33,286.79,254.85
2021-02-01,259.52,268.1,269.2,254.91
2021-02-08,268.75,270.5,273.8,265.0
2021-02-15,270.8,261.56,276.6,260.15
2021-02-22,257.95,257.62,267.46,254.04
2021-03-01,260.82,264.28,266.71,253.5
2021-03-08,265.55,268.4,277.9,255.05
2021-03-15,269.08,290.11,292.8,268.5
2021-03-22,290.45,283.02,299.71,277.75
2021-03-29,285.77,298.66,302.4,284.7
2021-04-05,300.89,312.46,315.88,300.68
2021-04-12,311.05,306.18,314.43,301.95
2021-04-19,305.01,301.13,307.7,296.04
2021-04-26,303.34,325.08,331.81,301.11
2021-05-03,326.17,319.08,328.55,313.12
2021-05-10,314.35,315.94,316.85,298.19
