begin,open,close,high,low
2023-09-12,96.66,95.98,96.84,95.86
2023-09-13,95.98,95.81,96.87,95.34
2023-09-14,96.4,96.86,97.35,95.58
2023-09-15,97.82,95.94,97.82,95.81
2023-09-18,95.68,95.19,96.05,94.96
2023-09-19,94.72,94.3,95.17,94.09
2023-09-20,93.65,93.72,95.08,93.52
2023-09-21,93.11,91.28,93.18,91.17
2023-09-22,91.27,90.55,92.02,90.25
2023-09-25,89.7,90.3,90.55,89.49
2023-09-26,89.7,89.87,90.4,89.48
2023-09-27,90.26,89.12,90.4,88.91
2023-09-28,88.8,89.33,89.48,88.36
2023-09-29,99.04,95.3,99.14,94.3
2023-10-02,95.88,94.24,96.06,93.42
2023-10-03,94.0,94.77,95.73,93.86
2023-10-04,95.26,95.57,95.94,94.8
2023-10-05,95.47,95.47,95.91,94.96
2023-10-06,95.47,96.78,97.38,94.74
2023-10-09,96.46,96.55,96.81,95.6
2023-10-10,96.92,97.29,98.53,96.9
2023-10-11,97.98,98.32,98.62,97.68
2023-10-12,99.21,98.92,99.71,98.19
2023-10-13,99.26,99.57,100.51,99.12
2023-10-16,99.39,101.7,102.24,99.27
2023-10-17,101.63,102.66,103.24,101.63
2023-10-18,102.62,103.42,103.55,102.58
2023-10-19,103.42,102.7,104.0,102.5
2023-10-20,102.97,102.33,103.42,102.23
2023-10-23,101.79,102.47,103.41,101.43
2023-10-24,103.31,104.83,105.3,103.31
2023-10-25,104.11,103.19,104.69,103.14
2023-10-26,101.84,99.68,102.29,99.61
2023-10-27,99.45,97.65,100.0,97.48
2023-10-30,98.67,101.46,101.71,98.67
2023-10-31,101.06,102.43,102.58,101.06
2023-11-01,102.21,100.54,102.33,99.63
2023-11-02,101.71,104.73,105.2,101.55
2023-11-03,106.07,106.7,107.29,105.69
2023-11-06,106.6,106.89,107.24,106.01
2023-11-07,106.96,108.99,108.99,106.87
2023-11-08,109.0,109.02,110.33,108.53
2023-11-09,109.45,106.64,109.53,106.56
2023-11-10,106.98,105.75,107.47,105.26
2023-11-13,105.02,103.85,105.37,103.83
2023-11-14,105.21,105.4,106.74,105.03
2023-11-15,106.46,107.46,108.69,106.36
2023-11-16,106.74,107.25,107.64,106.64
2023-11-17,107.7,105.6,107.85,105.17
2023-11-20,105.64,105.96,106.19,104.75
2023-11-21,105.81,106.19,106.34,105.0
2023-11-22,107.14,107.56,107.67,106.46
2023-11-24,107.14,107.28,107.64,107.04
2023-11-27,107.3,107.6,107.86,106.54
2023-11-28,108.21,108.39,109.53,107.79
2023-11-29,110.43,110.0,111.77,109.78
2023-11-30,110.16,109.9,110.23,108.59
2023-12-01,110.33,113.48,113.55,109.75
2023-12-04,113.08,115.15,115.32,113.0
2023-12-05,114.66,115.41,116.04,114.6
2023-12-06,116.0,116.11,117.14,115.57
2023-12-07,114.12,114.81,116.0,114.12
2023-12-08,114.5,115.91,116.29,114.47
2023-12-11,117.79,118.61,119.42,117.43
2023-12-12,119.68,119.64,119.99,118.58
2023-12-13,119.35,121.17,121.44,119.2
2023-12-14,121.44,121.02,122.59,119.82
2023-12-15,120.93,121.55,122.06,120.6
2023-12-18,121.41,121.14,121.84,120.86
2023-12-19,121.74,122.64,123.34,121.64
2023-12-20,121.13,121.43,123.39,121.0
2023-12-21,122.3,122.53,123.3,121.3
2023-12-22,108.26,108.04,110.8,107.45
2023-12-26,108.3,108.02,108.69,107.48
2023-12-27,108.34,107.13,108.59,106.85
2023-12-28,107.21,108.82,109.4,106.81
2023-12-29,108.96,108.57,109.96,108.09
2024-01-02,107.61,106.55,107.85,106.45
2024-01-03,105.72,104.04,107.48,104.0
2024-01-04,102.46,102.3,103.62,102.3
2024-01-05,102.46,102.08,103.68,101.9
2024-01-08,102.08,103.62,103.69,101.73
2024-01-09,103.17,102.74,103.4,102.5
2024-01-10,102.69,103.77,103.83,102.37
2024-01-11,104.22,105.9,106.01,103.73
2024-01-12,106.0,105.06,106.32,104.72
2024-01-16,103.94,101.72,104.22,101.36
2024-01-17,101.05,100.82,101.31,100.24
2024-01-18,101.0,100.94,101.43,100.07
2024-01-19,101.02,101.78,102.18,99.67
2024-01-22,101.75,100.56,101.81,100.09
2024-01-23,101.63,101.9,102.14,101.23
2024-01-24,101.78,100.76,101.8,100.69
2024-01-25,101.53,100.77,101.74,100.09
2024-01-26,101.57,102.75,103.27,101.22
2024-01-29,102.88,103.88,104.01,101.34
2024-01-30,103.34,104.18,104.31,103.13
2024-01-31,104.09,101.53,104.3,101.12
2024-02-01,101.9,101.76,102.25,100.61
2024-02-02,100.88,100.71,101.41,99.43
