begin,open,close,high,low
2022-01-19,1572.0,1593.6,1651.0,1514.2
2022-01-20,1604.8,1588.4,1638.8,1574.4
2022-01-21,1581.0,1592.8,1630.6,1562.8
2022-01-24,1596.2,1538.0,1614.4,1462.0
2022-01-25,1525.2,1590.0,1593.8,1497.0
2022-01-26,1590.0,1523.4,1604.0,1516.0
2022-01-27,1514.6,1611.8,1645.0,1498.4
2022-01-28,1610.0,1591.4,1636.4,1576.0
2022-01-31,1605.0,1637.2,1658.0,1603.4
2022-02-01,1640.8,1628.4,1649.0,1613.2
2022-02-02,1630.4,1612.0,1642.0,1605.0
2022-02-03,1612.0,1614.8,1623.0,1567.4
2022-02-04,1619.6,1628.4,1670.0,1606.4
2022-02-07,1628.4,1602.0,1645.0,1588.0
2022-02-08,1606.0,1628.2,1645.0,1600.2
2022-02-09,1638.0,1659.0,1665.0,1625.2
2022-02-10,1660.0,1632.0,1678.8,1628.0
2022-02-11,1632.0,1556.6,1641.4,1535.2
2022-02-14,1552.6,1618.8,1629.8,1522.0
2022-02-15,1628.0,1620.0,1637.0,1593.0
2022-02-16,1625.0,1621.4,1656.4,1587.0
2022-02-17,1625.0,1542.8,1625.0,1530.0
2022-02-18,1549.8,1492.8,1572.2,1479.4
2022-02-21,1492.8,1281.8,1544.0,1200.0
2022-02-22,1281.0,1354.0,1358.8,1206.6
2022-02-24,1209.4,1001.4,1237.0,654.0
2022-02-25,1090.0,1134.0,1273.0,1060.2
2022-03-24,1130.0,1343.6,1449.0,1130.0
2022-03-25,1444.4,1400.0,1444.8,1300.0
2022-03-28,1410.0,1379.0,1423.0,1314.2
2022-03-29,1379.0,1470.0,1509.8,1351.0
2022-03-30,1472.0,1444.0,1500.0,1422.0
2022-03-31,1452.8,1450.0,1485.0,1433.8
2022-04-01,1450.6,1390.0,1470.0,1366.0
2022-04-04,1390.0,1389.2,1408.0,1351.0
2022-04-05,1395.0,1298.0,1397.6,1284.2
2022-04-06,1306.0,1264.0,1316.8,1253.4
2022-04-07,1266.0,1263.0,1296.8,1262.0
2022-04-08,1272.0,1200.6,1274.6,1175.0
2022-04-11,1197.2,1141.6,1198.0,1132.2
2022-04-12,1136.6,1116.2,1139.0,1072.6
2022-04-13,1125.0,1101.4,1138.2,1096.0
2022-04-14,1105.0,1013.0,1106.6,1008.0
2022-04-15,1018.0,1056.0,1059.8,985.6
2022-04-18,1065.0,1047.8,1112.4,1021.4
2022-04-19,1051.6,1011.0,1078.8,993.0
2022-04-20,1019.0,1001.2,1031.0,968.0
2022-04-21,1008.0,998.8,1080.0,995.0
2022-04-22,1000.0,970.2,1020.8,956.0
2022-04-25,975.0,967.2,990.2,944.0
2022-04-26,971.2,1049.0,1057.8,969.6
2022-04-27,1053.2,1092.0,1098.0,1020.4
2022-04-28,1092.0,1065.0,1144.0,1040.0
2022-04-29,1081.6,1076.0,1093.0,1060.0
2022-05-04,1037.0,1007.0,1054.8,1007.0
2022-05-05,1010.4,1009.2,1022.0,1004.2
2022-05-06,1009.2,989.0,1014.2,985.0
2022-05-11,990.0,989.6,1009.6,970.8
2022-05-12,989.0,956.0,989.4,951.2
2022-05-13,964.0,971.0,978.8,944.0
2022-05-16,970.8,996.6,998.2,968.8
2022-05-17,997.0,1009.0,1011.0,992.4
2022-05-18,1011.2,1002.0,1029.0,1000.0
2022-05-19,1000.0,1010.8,1015.0,986.0
2022-05-20,1014.4,990.8,1018.6,986.0
2022-05-23,989.0,962.8,994.0,960.2
2022-05-24,962.8,943.0,962.8,928.6
