begin,open,close,high,low
2020-02-04,88.24,89.32,89.62,87.88
2020-02-05,89.5,90.5,91.3,88.53
2020-02-06,91.28,88.91,91.37,88.9
2020-02-07,89.05,88.2,89.9,87.84
2020-02-10,88.86,90.69,90.8,88.02
2020-02-11,90.99,91.95,91.95,88.69
2020-02-12,92.0,91.0,92.02,90.1
2020-02-13,90.97,90.07,91.32,89.56
2020-02-14,90.24,90.25,91.28,89.8
2020-02-17,90.98,90.22,91.2,90.01
2020-02-18,90.22,89.02,90.39,88.01
2020-02-19,89.5,89.77,90.16,88.13
2020-02-20,89.11,89.29,90.24,89.11
2020-02-21,89.28,89.24,89.47,88.1
2020-02-25,88.2,89.2,90.27,87.6
2020-02-26,88.11,88.2,89.4,85.97
2020-02-27,87.94,86.5,88.42,86.0
2020-02-28,85.54,86.68,86.86,79.89
2020-03-02,86.86,86.92,88.55,82.2
2020-03-03,87.67,86.36,87.81,84.35
2020-03-04,85.38,83.93,85.38,82.25
2020-03-05,84.03,82.27,84.6,80.68
2020-03-06,81.5,80.17,81.79,78.0
2020-03-10,75.0,75.0,80.76,72.51
2020-03-11,76.0,71.56,76.0,71.56
2020-03-12,69.89,64.0,70.98,63.5
2020-03-13,64.98,64.15,68.6,63.18
2020-03-16,65.0,67.18,67.75,62.16
2020-03-17,67.75,68.27,68.27,64.74
2020-03-18,68.0,68.0,68.96,65.0
2020-03-19,67.46,69.5,70.1,65.26
2020-03-20,70.0,66.37,71.5,66.37
2020-03-23,64.89,65.4,66.0,63.27
2020-03-24,66.0,67.1,67.76,65.91
2020-03-25,67.99,68.07,71.9,66.01
2020-03-26,68.93,69.88,72.5,66.6
2020-03-27,70.81,67.19,71.86,67.05
2020-03-30,67.0,70.72,71.05,66.92
2020-03-31,72.0,74.0,74.0,65.71
2020-04-01,74.0,72.0,74.0,71.18
2020-04-02,73.7,72.0,73.88,71.56
2020-04-03,72.0,73.59,75.96,71.74
2020-04-06,74.5,76.53,78.2,74.04
2020-04-07,78.06,78.67,79.5,77.59
2020-04-08,78.7,79.0,79.0,76.3
2020-04-09,79.88,78.45,80.0,77.9
2020-04-10,78.89,78.17,78.89,77.3
2020-04-13,77.9,77.0,77.94,76.0
2020-04-14,77.19,78.7,79.57,77.19
2020-04-15,78.48,77.81,79.93,77.79
2020-04-16,77.87,78.13,79.47,73.0
2020-04-17,79.5,78.26,80.94,78.0
2020-04-20,78.55,78.06,79.68,77.81
2020-04-21,77.01,77.08,78.52,75.0
2020-04-22,76.9,77.23,79.1,76.53
2020-04-23,78.4,78.0,79.05,77.23
2020-04-24,78.08,77.38,79.3,77.28
2020-04-27,77.89,79.12,79.19,77.5
2020-04-28,79.0,81.9,82.2,78.71
2020-04-29,82.0,82.7,83.13,81.34
2020-04-30,83.33,82.1,83.78,80.4
2020-05-04,81.4,82.76,83.3,79.39
2020-05-05,82.69,82.42,83.85,81.6
2020-05-06,82.55,81.6,82.68,81.34
2020-05-07,81.66,81.94,82.85,81.57
2020-05-08,82.5,82.55,82.72,81.02
2020-05-12,82.79,81.8,82.97,81.7
2020-05-13,81.71,80.15,81.73,79.92
2020-05-14,79.75,81.95,82.0,79.73
2020-05-15,82.13,80.88,82.9,80.73
2020-05-18,81.1,82.38,82.69,81.1
2020-05-19,82.89,82.84,83.9,81.91
2020-05-20,82.92,82.2,83.41,82.05
2020-05-21,82.67,81.46,82.68,81.26
2020-05-22,81.2,81.62,81.75,80.74
2020-05-25,81.7,82.03,82.48,81.7
2020-05-26,82.22,81.52,82.94,81.13
2020-05-27,81.52,81.21,82.6,80.24
2020-05-28,81.5,82.4,82.4,80.77
2020-05-29,82.0,82.92,82.92,81.21
2020-06-01,83.0,83.5,83.52,82.01
2020-06-02,83.55,84.44,85.1,83.01
2020-06-03,84.65,84.72,85.58,83.0
2020-06-04,84.78,85.0,85.12,83.18
2020-06-05,85.0,84.9,85.11,84.02
2020-06-08,84.9,84.2,84.9,83.93
2020-06-09,84.21,84.9,84.9,83.07
2020-06-10,84.36,84.98,85.3,84.02
2020-06-11,84.54,84.0,85.35,82.71
2020-06-15,82.82,82.68,83.9,81.24
2020-06-16,83.03,82.56,83.5,80.67
2020-06-17,82.33,82.69,83.5,81.91
2020-06-18,82.71,84.5,84.87,82.15
2020-06-19,84.51,86.8,86.8,84.18
2020-06-22,86.1,86.0,86.6,85.05
2020-06-23,86.39,85.26,86.43,85.01
2020-06-25,84.5,86.96,87.99,83.23
2020-06-26,87.74,89.12,89.78,85.96
2020-06-29,89.19,87.7,90.37,87.54
2020-06-30,88.37,87.7,89.91,87.7
2020-07-02,88.2,87.63,88.48,87.5
2020-07-03,88.38,88.09,88.38,87.63
2020-07-06,88.42,89.1,90.25,88.42
2020-07-07,89.12,88.0,89.55,87.72
2020-07-08,88.24,86.6,88.54,86.6
2020-07-09,87.17,85.6,87.86,85.6
2020-07-10,85.94,87.03,87.56,85.3
2020-07-13,87.49,86.85,88.0,86.54
2020-07-14,86.84,85.7,86.95,84.81
2020-07-15,85.91,86.5,87.07,85.91
2020-07-16,86.79,86.7,87.29,86.52
2020-07-17,86.71,86.98,87.5,86.71
2020-07-20,87.1,88.64,88.66,86.54
2020-07-21,88.5,88.1,90.85,84.08
2020-07-22,88.5,89.87,90.77,88.41
2020-07-23,90.41,89.63,90.42,89.6
2020-07-24,89.62,89.5,90.34,88.91
2020-07-27,90.26,90.0,90.65,89.47
2020-07-28,90.0,90.23,91.14,90.0
2020-07-29,90.8,91.24,91.91,90.0
2020-07-30,91.91,90.22,91.91,89.67
2020-07-31,90.4,89.88,90.81,89.88
2020-08-03,90.2,90.7,91.22,90.2
2020-08-04,91.11,93.28,93.35,90.64
2020-08-05,93.98,97.74,97.75,93.31
2020-08-06,97.0,96.56,97.34,95.16
2020-08-07,95.56,96.11,97.73,95.2
2020-08-10,96.11,96.83,97.45,95.75
2020-08-11,96.68,97.25,98.11,96.0
2020-08-12,96.87,97.48,97.71,96.55
2020-08-13,97.57,98.18,98.49,97.31
2020-08-14,98.07,99.28,99.58,97.47
2020-08-17,99.0,99.94,100.84,98.55
2020-08-18,99.99,100.15,100.5,99.21
2020-08-19,99.95,101.5,101.79,99.5
2020-08-20,96.8,97.45,98.15,96.53
2020-08-21,98.0,96.62,98.8,95.29
2020-08-24,97.38,97.79,98.28,96.68
2020-08-25,97.62,96.91,98.34,96.64
2020-08-26,96.86,97.81,98.29,96.84
2020-08-27,98.01,96.95,98.28,96.91
2020-08-28,97.06,97.14,98.4,96.6
2020-08-31,97.51,96.63,98.2,95.66
2020-09-01,96.81,97.29,97.94,96.12
2020-09-02,97.8,95.97,97.92,95.65
2020-09-03,96.15,96.88,97.4,96.01
2020-09-04,96.77,97.23,97.98,96.62
2020-09-07,97.07,96.46,97.35,95.8
2020-09-08,96.55,95.01,96.71,93.62
