begin,open,close,high,low
2023-09-14,258.9,260.0,261.38,255.02
2023-09-15,259.65,260.83,262.74,258.56
2023-09-18,262.02,259.07,263.0,258.76
2023-09-19,258.99,252.72,259.32,251.5
2023-09-20,252.8,253.77,255.47,249.82
2023-09-21,252.87,250.16,254.2,249.81
2023-09-22,249.85,251.99,253.1,248.62
2023-09-25,252.0,252.65,253.49,249.83
2023-09-26,252.13,255.87,257.17,250.9
2023-09-27,256.2,256.1,257.85,254.63
2023-09-28,256.4,257.67,258.25,255.5
2023-09-29,258.0,260.72,262.59,256.71
2023-10-02,261.37,258.98,261.92,257.03
2023-10-03,258.99,259.65,260.5,257.23
2023-10-04,259.0,259.53,260.39,258.24
2023-10-05,260.7,259.38,261.39,258.26
2023-10-06,259.77,262.93,263.4,257.86
2023-10-09,263.0,265.25,265.97,263.0
2023-10-10,264.89,263.0,265.18,257.0
2023-10-11,263.3,260.21,263.99,259.5
2023-10-12,260.0,264.5,264.5,259.66
2023-10-13,264.89,263.51,265.04,262.7
2023-10-16,264.0,268.15,269.2,263.51
2023-10-17,268.3,270.0,271.97,266.91
2023-10-18,270.0,267.9,271.19,266.11
2023-10-19,267.13,268.65,271.0,266.28
2023-10-20,268.5,269.8,270.3,266.5
2023-10-23,270.45,270.1,274.1,269.65
2023-10-24,270.0,271.27,272.06,268.62
2023-10-25,271.5,273.73,274.96,270.53
2023-10-26,274.11,269.9,276.0,269.12
2023-10-27,269.93,269.7,271.98,266.8
2023-10-30,269.9,269.89,271.55,268.6
2023-10-31,270.0,268.35,270.5,266.87
2023-11-01,268.29,269.68,270.3,267.6
2023-11-02,270.0,269.06,270.98,268.5
2023-11-03,269.07,268.54,269.78,267.2
2023-11-06,269.0,273.42,273.87,268.62
2023-11-07,273.01,273.31,274.78,272.2
2023-11-08,273.64,278.15,278.35,273.28
2023-11-09,278.6,276.65,278.85,276.02
2023-11-10,276.99,280.19,281.3,276.6
2023-11-13,280.4,283.97,284.8,280.32
2023-11-14,283.7,280.87,283.88,280.54
2023-11-15,280.87,282.89,283.93,278.51
2023-11-16,282.4,279.7,283.69,279.56
2023-11-17,279.7,281.6,282.5,278.66
2023-11-20,281.96,282.91,284.2,281.61
2023-11-21,282.3,282.79,283.82,281.66
2023-11-22,283.12,286.16,286.67,282.85
2023-11-23,286.16,286.19,287.77,285.04
2023-11-24,286.49,286.85,287.5,285.11
2023-11-27,287.4,282.33,289.0,278.88
2023-11-28,282.4,279.91,282.51,277.32
2023-11-29,279.36,276.8,280.56,276.2
2023-11-30,276.7,277.5,278.65,272.75
2023-12-01,277.0,273.97,277.98,273.55
2023-12-04,273.6,270.96,274.95,270.52
2023-12-05,271.98,279.62,279.65,270.54
2023-12-06,279.92,267.58,280.79,266.83
2023-12-07,267.62,265.12,270.44,263.06
2023-12-08,266.0,265.16,268.23,263.72
2023-12-11,265.17,256.89,266.47,254.81
2023-12-12,256.79,257.6,262.88,255.05
2023-12-13,257.6,260.45,261.39,256.5
2023-12-14,261.4,256.64,262.75,255.58
2023-12-15,256.6,268.21,268.91,256.6
2023-12-18,268.93,268.4,270.44,266.54
2023-12-19,268.38,267.35,269.71,265.0
2023-12-20,267.51,266.61,269.1,266.2
2023-12-21,266.4,265.19,266.87,263.5
2023-12-22,266.06,271.3,271.9,265.37
2023-12-25,271.72,271.08,273.85,270.05
2023-12-26,271.0,271.9,272.89,270.0
2023-12-27,271.9,271.08,272.59,270.85
2023-12-28,270.92,271.74,272.48,268.52
2023-12-29,272.19,270.82,272.59,270.55
2024-01-03,271.9,274.56,274.7,271.0
2024-01-04,274.67,274.12,275.48,273.7
2024-01-05,274.3,273.62,274.69,272.8
2024-01-08,273.6,276.76,277.0,273.53
2024-01-09,276.97,275.28,278.0,274.71
2024-01-10,275.3,274.49,276.16,273.64
2024-01-11,274.78,275.71,275.97,274.01
2024-01-12,276.0,275.84,276.96,274.77
2024-01-15,276.45,275.96,277.73,275.21
2024-01-16,276.22,276.01,276.45,274.1
2024-01-17,276.02,278.0,279.17,275.75
2024-01-18,278.24,277.07,278.87,276.76
2024-01-19,277.39,274.86,277.47,273.55
2024-01-22,274.86,274.93,275.9,273.85
2024-01-23,274.7,275.9,277.26,274.31
2024-01-24,275.9,273.77,276.44,273.7
2024-01-25,274.0,272.81,274.18,271.55
2024-01-26,273.1,272.65,273.72,272.21
2024-01-29,273.02,274.05,274.95,272.7
2024-01-30,274.01,275.67,277.25,273.97
2024-01-31,275.84,276.0,276.45,275.0
2024-02-01,276.03,276.86,277.75,275.93
2024-02-02,277.0,276.74,277.3,276.0
