begin,open,close,high,low
2022-02-07,91.22,91.07,91.95,90.77
2022-02-08,91.17,90.81,91.87,90.27
2022-02-09,92.08,92.93,93.73,92.04
2022-02-10,91.79,91.65,93.09,91.33
2022-02-11,91.92,90.13,92.78,89.77
2022-02-14,90.15,90.05,90.86,88.87
2022-02-15,91.49,90.88,91.79,90.73
2022-02-16,90.71,91.52,91.88,89.58
2022-02-17,90.79,89.47,90.99,89.21
2022-02-18,89.0,89.75,90.44,88.97
2022-02-22,90.0,89.53,90.43,88.81
2022-02-23,90.27,86.2,90.27,86.0
2022-02-24,84.14,87.51,87.69,83.9
2022-02-25,87.79,89.02,89.22,86.81
2022-02-28,87.78,88.26,88.76,87.14
2022-03-01,87.97,86.68,87.99,86.2
2022-03-02,87.28,89.2,89.69,87.11
2022-03-03,89.89,88.01,89.91,87.58
2022-03-04,87.47,86.57,87.66,86.01
2022-03-07,86.58,81.21,86.59,81.11
2022-03-08,81.5,80.77,83.58,80.54
2022-03-09,83.18,84.23,84.74,83.01
2022-03-10,82.78,83.81,84.0,82.31
2022-03-11,84.95,79.55,85.4,79.37
2022-03-14,79.16,76.24,79.18,75.89
2022-03-15,77.41,79.93,80.23,77.19
2022-03-16,84.63,84.05,86.63,82.33
2022-03-17,84.1,84.29,84.57,82.7
2022-03-18,82.81,86.16,86.3,81.71
2022-03-21,86.17,83.52,86.27,82.67
2022-03-22,84.04,84.51,85.68,83.8
2022-03-23,84.0,82.91,84.34,82.79
2022-03-24,83.49,83.77,83.8,82.27
2022-03-25,84.03,84.09,84.3,82.91
2022-03-28,84.12,84.98,85.02,83.42
2022-03-29,86.25,87.72,88.37,86.21
2022-03-30,87.26,87.53,88.02,86.93
2022-03-31,87.81,87.47,89.07,87.47
2022-04-01,87.98,87.97,88.36,87.0
2022-04-04,84.51,84.7,85.06,82.87
2022-04-05,83.23,80.89,83.29,80.6
2022-04-06,80.43,80.16,80.67,78.92
2022-04-07,79.8,79.93,80.29,78.32
2022-04-08,79.99,78.39,79.99,78.21
2022-04-11,77.77,77.58,78.6,77.2
2022-04-12,77.72,76.72,78.15,76.59
2022-04-13,76.81,77.81,78.18,76.55
2022-04-14,77.65,76.44,77.96,76.2
2022-04-18,76.0,76.54,76.9,75.85
2022-04-19,76.56,78.1,78.41,76.36
2022-04-20,78.18,77.09,78.39,76.93
2022-04-21,77.93,75.93,78.07,75.7
2022-04-22,75.86,74.93,76.43,74.79
2022-04-25,74.41,74.98,75.08,73.78
2022-04-26,74.51,72.72,74.6,72.72
2022-04-27,72.48,71.87,73.49,71.81
2022-04-28,72.71,73.64,74.14,71.98
2022-04-29,73.1,71.77,73.82,71.62
2022-05-02,72.36,72.47,72.81,70.65
2022-05-03,72.81,71.47,72.88,70.56
2022-05-04,76.26,78.5,79.68,74.93
2022-05-05,77.34,74.5,78.1,74.17
2022-05-06,74.07,73.58,74.23,72.32
2022-05-09,72.35,70.67,73.61,70.51
2022-05-10,71.97,69.1,72.17,68.86
2022-05-11,68.8,67.37,69.18,67.27
2022-05-12,66.96,67.69,67.81,66.22
2022-05-13,69.6,73.21,73.33,69.6
2022-05-16,72.57,70.13,73.05,70.02
2022-05-17,71.67,71.39,72.0,70.53
2022-05-18,70.83,69.02,71.21,68.54
2022-05-19,68.85,69.65,70.13,68.1
2022-05-20,70.57,71.07,71.1,69.2
2022-05-23,71.4,71.1,71.92,70.27
2022-05-24,70.66,70.42,71.01,69.01
2022-05-25,70.42,70.19,71.17,69.65
2022-05-26,70.64,72.13,72.4,70.56
2022-05-27,72.85,74.28,74.29,72.77
2022-05-31,74.53,76.01,77.14,74.13
2022-06-01,76.26,73.86,76.38,73.64
2022-06-02,74.12,76.91,76.98,73.45
2022-06-03,76.5,76.55,77.37,75.84
2022-06-06,77.18,76.48,78.73,76.04
2022-06-07,76.08,76.95,77.22,75.78
2022-06-08,76.4,75.99,77.24,75.78
2022-06-09,75.5,76.41,77.73,75.27
2022-06-10,74.58,73.27,75.33,73.26
2022-06-13,70.78,70.07,71.67,69.63
2022-06-14,70.54,70.02,71.5,69.27
2022-06-15,70.93,71.84,72.89,70.8
2022-06-16,70.14,68.7,70.31,68.12
2022-06-17,68.83,69.59,70.15,68.53
2022-06-21,70.75,70.65,70.85,69.75
2022-06-22,70.08,70.98,71.48,69.93
2022-06-23,71.52,72.82,72.97,71.18
2022-06-24,73.26,75.64,75.68,73.16
2022-06-27,75.53,75.22,75.96,74.82
2022-06-28,75.91,73.92,77.36,73.78
2022-06-29,73.8,74.01,74.71,73.24
2022-06-30,73.6,73.97,74.45,72.5
2022-07-01,74.3,76.75,76.95,74.12
2022-07-05,75.55,77.0,77.03,74.91
2022-07-06,77.3,76.36,77.92,75.7
2022-07-07,76.31,76.73,77.13,75.89
2022-07-08,76.2,76.77,77.11,75.79
2022-07-11,76.35,75.43,76.55,74.98
2022-07-12,75.88,75.3,76.92,74.93
2022-07-13,73.58,75.45,76.05,73.33
2022-07-14,74.65,75.72,75.89,74.38
2022-07-15,76.12,77.1,77.67,76.12
2022-07-18,77.5,77.69,79.08,77.47
2022-07-19,78.54,79.94,80.05,78.35
2022-07-20,79.87,80.63,80.83,79.3
2022-07-21,80.32,80.89,80.96,80.03
2022-07-22,81.5,80.94,81.76,80.22
2022-07-25,80.94,78.92,81.05,78.47
2022-07-26,78.65,77.77,78.84,77.47
2022-07-27,78.66,80.33,80.77,78.55
2022-07-28,80.56,81.99,82.2,80.2
2022-07-29,81.92,82.1,82.29,81.27
2022-08-01,81.52,82.22,82.88,81.37
2022-08-02,82.02,81.06,82.44,80.97
2022-08-03,83.29,84.51,85.18,81.25
2022-08-04,84.45,84.13,85.48,83.83
2022-08-05,83.04,83.02,83.42,82.23
2022-08-08,83.42,83.01,84.11,82.72
2022-08-09,83.03,82.15,83.11,81.79
2022-08-10,83.76,83.75,84.15,83.36
2022-08-11,84.67,84.99,85.26,84.24
2022-08-12,85.03,86.0,86.09,84.91
2022-08-15,85.81,86.83,86.92,85.71
2022-08-16,86.46,87.06,87.58,86.23
2022-08-17,86.09,86.04,86.67,85.56
2022-08-18,85.73,86.23,86.46,85.39
2022-08-19,85.48,84.65,85.67,84.29
2022-08-22,83.15,82.73,83.31,82.13
2022-08-23,82.63,82.48,83.37,82.37
2022-08-24,82.54,83.8,84.22,82.27
2022-08-25,84.09,85.11,85.34,84.04
2022-08-26,85.22,81.86,85.69,81.76
2022-08-29,81.02,81.92,82.45,80.87
2022-08-30,81.98,81.23,82.8,80.53
2022-08-31,81.68,81.87,82.54,81.46
2022-09-01,81.51,83.17,83.24,80.76
2022-09-02,83.24,80.77,83.53,80.39
2022-09-06,80.9,82.31,82.41,79.53
2022-09-07,82.88,86.0,86.3,82.7
2022-09-08,85.02,87.12,87.14,84.88
2022-09-09,87.16,86.37,87.6,86.32
2022-09-12,87.42,86.74,88.02,86.23
2022-09-13,84.45,85.54,86.97,83.82
2022-09-14,87.23,90.28,91.04,87.17
2022-09-15,89.68,89.81,90.71,89.33
2022-09-16,88.77,88.92,89.69,88.28
2022-09-19,88.51,89.73,90.13,88.46
2022-09-20,89.26,88.42,89.61,87.74
2022-09-21,88.9,86.28,89.13,86.25
2022-09-22,85.7,82.49,85.72,82.17
2022-09-23,81.71,81.97,82.23,81.05
2022-09-26,82.11,82.59,83.78,82.08
2022-09-27,83.72,82.08,84.24,81.0
2022-09-28,82.47,84.83,85.19,82.05
2022-09-29,84.54,84.31,85.06,83.37
2022-09-30,84.31,82.06,84.43,81.95
2022-10-03,82.53,83.38,83.97,81.61
2022-10-04,84.81,86.2,86.62,84.59
2022-10-05,85.44,87.76,88.27,85.26
2022-10-06,87.83,87.01,88.52,86.93
2022-10-07,86.22,84.75,86.58,84.04
2022-10-10,84.74,84.78,85.28,83.88
2022-10-11,84.44,83.96,84.92,83.4
2022-10-12,84.73,84.6,85.76,84.15
2022-10-13,82.87,87.03,87.62,82.5
2022-10-14,87.66,84.11,88.33,83.99
2022-10-17,85.6,86.58,86.89,85.51
2022-10-18,87.75,86.63,88.1,85.78
2022-10-19,86.08,85.23,86.8,84.73
2022-10-20,85.05,84.52,85.92,84.21
2022-10-21,84.73,86.29,86.64,84.3
2022-10-24,84.63,81.57,85.22,80.27
2022-10-25,81.9,82.98,83.75,81.9
2022-10-26,83.37,83.64,85.92,83.25
2022-10-27,83.88,83.05,84.14,81.88
2022-10-28,82.94,84.82,85.49,82.11
2022-10-31,84.34,84.33,85.28,83.7
2022-11-01,85.76,84.82,86.56,84.32
2022-11-02,84.99,82.37,86.26,82.32
2022-11-03,81.87,82.47,83.24,80.8
2022-11-04,89.58,89.46,91.15,88.15
2022-11-07,89.27,88.09,89.95,86.95
2022-11-08,88.54,90.32,91.33,88.54
2022-11-09,89.73,89.75,90.7,89.46
2022-11-10,91.96,94.28,94.44,91.41
2022-11-11,94.77,95.38,96.64,94.59
2022-11-14,95.13,95.42,96.53,94.7
2022-11-15,96.88,95.82,97.48,95.29
2022-11-16,94.54,95.08,95.95,94.28
2022-11-17,93.25,94.98,95.02,93.15
2022-11-18,95.74,95.94,96.33,95.13
2022-11-21,95.0,96.3,96.47,94.71
2022-11-22,96.48,96.41,96.7,95.52
2022-11-23,96.47,97.47,98.02,96.25
2022-11-25,97.59,97.51,97.83,96.5
2022-11-28,96.96,96.63,98.1,96.53
2022-11-29,96.93,96.63,97.29,96.18
2022-11-30,97.01,100.1,100.45,96.5
2022-12-01,100.23,101.25,101.43,99.85
2022-12-02,99.92,102.89,103.37,99.73
2022-12-05,101.27,101.42,102.1,100.88
2022-12-06,101.69,99.98,102.05,99.36
2022-12-07,99.21,99.78,100.85,98.98
2022-12-08,100.63,101.61,101.77,100.3
2022-12-09,101.3,99.7,101.37,99.66
2022-12-12,99.05,100.59,100.74,98.75
2022-12-13,102.67,100.01,103.04,98.91
2022-12-14,100.22,100.09,101.18,98.63
2022-12-15,99.13,97.94,99.46,97.41
2022-12-16,97.24,96.8,97.49,96.01
2022-12-19,96.41,96.28,96.78,95.72
2022-12-20,96.17,95.99,96.55,95.27
2022-12-21,94.73,96.64,97.03,94.37
2022-12-22,96.43,95.75,96.53,94.19
2022-12-23,95.58,96.25,96.28,94.89
2022-12-27,96.54,97.16,97.42,96.19
2022-12-28,97.37,96.57,97.86,96.37
2022-12-29,96.97,97.72,98.58,96.64
2022-12-30,97.15,97.16,97.21,96.22
2023-01-03,98.49,98.76,99.09,97.43
2023-01-04,100.58,102.31,102.58,100.44
2023-01-05,102.34,102.28,102.94,101.36
2023-01-06,103.21,104.5,104.8,102.85
2023-01-09,104.33,102.59,104.49,102.28
2023-01-10,102.22,103.82,104.24,102.03
2023-01-11,103.64,104.12,104.25,102.71
2023-01-12,104.11,103.67,104.25,103.01
2023-01-13,102.91,105.03,105.1,102.91
2023-01-17,104.75,104.56,105.39,104.13
2023-01-18,104.94,102.84,105.26,102.75
2023-01-19,102.84,102.12,103.53,102.1
2023-01-20,102.25,102.88,103.04,101.76
2023-01-23,102.88,104.03,104.69,102.25
2023-01-24,104.21,104.45,104.67,103.24
2023-01-25,103.88,104.78,104.94,103.72
2023-01-26,105.1,106.53,106.56,104.86
2023-01-27,106.51,106.78,107.5,106.11
2023-01-30,106.04,106.17,106.63,105.21
2023-01-31,106.04,106.9,106.91,105.29
