begin,open,close,high,low
2020-01-23,1440.0,1436.4,1458.4,1420.2
2020-01-24,1438.4,1437.4,1467.8,1426.2
2020-01-27,1427.6,1399.2,1439.2,1386.0
2020-01-28,1391.2,1450.0,1456.6,1391.2
2020-01-29,1473.2,1468.0,1476.8,1428.4
2020-01-30,1477.6,1486.2,1487.2,1444.0
2020-01-31,1490.0,1515.0,1527.8,1470.0
2020-02-03,1520.4,1545.0,1565.0,1484.2
2020-02-04,1567.0,1590.4,1616.8,1545.4
2020-02-05,1609.6,1635.2,1656.6,1592.6
2020-02-06,1660.0,1645.2,1676.8,1632.4
2020-02-07,1650.0,1662.0,1670.0,1638.8
2020-02-10,1673.6,1670.6,1699.8,1661.0
2020-02-11,1690.0,1684.8,1698.0,1654.2
2020-02-12,1699.6,1671.6,1699.6,1648.0
2020-02-13,1671.0,1657.8,1680.0,1652.2
2020-02-14,1665.8,1650.0,1673.6,1615.2
2020-02-17,1638.8,1610.2,1639.4,1600.0
2020-02-18,1601.0,1604.0,1636.0,1590.2
2020-02-19,1615.8,1624.8,1624.8,1600.2
2020-02-20,1628.0,1644.4,1663.8,1619.2
2020-02-21,1641.8,1631.6,1659.0,1611.2
2020-02-25,1580.0,1590.6,1614.8,1551.0
2020-02-26,1567.0,1595.2,1602.0,1511.2
2020-02-27,1573.0,1551.0,1615.8,1530.0
2020-02-28,1500.0,1474.2,1530.0,1361.0
2020-03-02,1448.6,1437.4,1514.2,1371.0
2020-03-03,1420.0,1419.6,1441.6,1375.0
2020-03-04,1401.4,1454.4,1462.4,1345.8
2020-03-05,1524.0,1482.0,1524.0,1432.2
2020-03-06,1400.4,1116.6,1427.2,1053.4
2020-03-10,1005.0,1131.0,1220.2,952.0
2020-03-11,1157.8,1167.2,1250.0,1125.0
2020-03-12,1083.0,960.6,1145.4,960.6
2020-03-13,989.0,1045.0,1088.0,910.4
2020-03-16,1017.2,1010.8,1057.0,956.0
2020-03-17,1000.2,934.6,1029.0,920.0
2020-03-18,939.8,873.8,939.8,851.4
2020-03-19,894.0,934.0,945.0,810.0
2020-03-20,980.4,987.0,1021.6,958.0
2020-03-23,945.0,924.2,966.0,890.4
2020-03-24,972.0,951.6,1010.0,934.6
2020-03-25,996.0,960.4,1030.0,936.2
2020-03-26,955.0,940.0,975.0,913.6
2020-03-27,939.0,882.0,970.0,882.0
2020-03-30,882.0,831.8,882.0,824.4
2020-03-31,855.0,900.0,918.0,835.0
2020-04-01,878.0,860.8,898.8,860.0
2020-04-02,879.0,835.0,886.0,818.0
2020-04-03,840.0,862.0,868.6,830.2
2020-04-06,870.2,950.0,958.6,864.6
2020-04-07,969.0,956.2,1038.0,938.6
2020-04-08,940.4,959.0,967.0,915.0
2020-04-09,980.0,931.0,1002.0,920.0
2020-04-10,939.0,940.6,941.8,916.0
2020-04-13,936.0,912.4,945.6,909.8
2020-04-14,925.0,940.0,955.0,919.2
2020-04-15,941.4,913.2,948.8,908.2
2020-04-16,930.0,891.0,930.0,891.0
2020-04-17,915.0,895.0,922.8,877.8
2020-04-20,904.0,875.0,905.0,865.0
2020-04-21,861.0,843.0,867.0,830.0
2020-04-22,836.2,858.0,860.6,833.2
2020-04-23,869.0,875.0,882.2,851.2
2020-04-24,856.2,904.0,927.4,854.6
2020-04-27,930.8,940.0,946.0,874.2
2020-04-28,940.0,999.0,1004.6,936.0
2020-04-29,1000.2,1025.0,1031.8,989.6
2020-04-30,1034.8,1025.0,1037.8,987.0
2020-05-04,1006.0,1020.0,1025.4,994.8
2020-05-05,1030.0,1024.0,1037.8,1013.4
2020-05-06,1029.6,1014.8,1038.8,1011.2
2020-05-07,1017.6,1036.6,1048.8,1013.2
2020-05-08,1049.6,1038.4,1049.6,1027.0
2020-05-12,1044.6,1043.0,1048.6,1025.4
2020-05-13,1043.2,1040.8,1071.8,1009.0
2020-05-14,1047.8,1049.6,1064.2,1030.0
2020-05-15,1084.0,1070.0,1084.6,1050.2
2020-05-18,1080.0,1082.0,1092.4,1073.0
2020-05-19,1090.0,1102.8,1102.8,1065.6
2020-05-20,1108.4,1144.2,1150.6,1092.0
2020-05-21,1147.6,1167.2,1178.6,1133.2
2020-05-22,1154.2,1184.6,1186.4,1137.0
2020-05-25,1199.0,1213.4,1232.2,1184.8
2020-05-26,1226.0,1221.2,1231.0,1201.0
2020-05-27,1222.0,1245.8,1277.8,1211.0
2020-05-28,1249.8,1273.2,1293.8,1249.8
2020-05-29,1273.0,1253.0,1279.8,1202.2
2020-06-01,1259.8,1203.8,1268.6,1186.0
2020-06-02,1212.0,1258.6,1261.2,1176.0
2020-06-03,1259.0,1235.6,1276.8,1231.0
2020-06-04,1242.8,1215.0,1250.0,1209.0
2020-06-05,1217.0,1222.4,1229.0,1206.0
2020-06-08,1230.0,1246.8,1262.4,1216.4
2020-06-09,1256.0,1214.0,1259.4,1180.0
2020-06-10,1205.2,1211.2,1224.0,1191.0
2020-06-11,1197.6,1205.0,1212.8,1172.2
2020-06-15,1180.2,1250.0,1278.8,1139.8
2020-06-16,1239.2,1312.8,1330.0,1235.4
2020-06-17,1319.6,1309.6,1328.0,1296.4
2020-06-18,1308.2,1335.0,1336.8,1306.0
2020-06-19,1344.0,1335.4,1355.2,1329.6
2020-06-22,1336.0,1371.8,1378.4,1250.0
2020-06-23,1380.0,1436.2,1456.8,1374.0
2020-06-25,1420.0,1457.4,1476.4,1410.4
2020-06-26,1457.6,1462.2,1507.8,1453.0
2020-06-29,1450.0,1458.0,1479.0,1413.6
2020-06-30,1469.8,1437.6,1488.8,1407.6
2020-07-02,1440.2,1447.0,1447.2,1402.0
2020-07-03,1426.2,1456.0,1472.6,1426.2
2020-07-06,1481.0,1503.8,1515.0,1456.0
2020-07-07,1480.4,1490.0,1516.8,1480.4
2020-07-08,1472.0,1460.0,1496.4,1436.0
2020-07-09,1463.0,1470.2,1489.0,1452.2
2020-07-10,1460.2,1504.4,1507.8,1445.0
2020-07-13,1509.8,1540.6,1551.2,1500.0
2020-07-14,1522.6,1531.6,1554.8,1508.0
2020-07-15,1543.0,1583.0,1585.0,1536.2
2020-07-16,1583.0,1615.8,1617.0,1570.4
2020-07-17,1625.0,1655.8,1682.6,1605.2
2020-07-20,1664.8,1661.2,1672.0,1632.2
2020-07-21,1650.2,1722.6,1750.0,1640.0
2020-07-22,1729.8,1770.0,1785.0,1724.4
2020-07-23,1793.6,1756.0,1794.0,1706.8
2020-07-24,1721.2,1775.8,1782.0,1711.8
2020-07-27,1787.6,1832.0,1845.4,1752.2
2020-07-28,1832.0,1804.6,1909.6,1800.8
2020-07-29,1808.0,1818.0,1844.0,1794.0
2020-07-30,1820.0,1778.2,1828.4,1725.0
2020-07-31,1779.8,1870.0,1875.0,1770.4
2020-08-03,1897.0,1879.2,1904.2,1840.2
2020-08-04,1889.6,1884.0,1893.8,1875.0
2020-08-05,1876.8,1951.4,1952.8,1867.2
2020-08-06,1952.0,1943.2,1996.2,1904.6
2020-08-07,1964.0,1919.0,1964.0,1905.2
2020-08-10,1937.0,1856.2,1944.2,1801.0
2020-08-11,1878.0,1800.0,1888.0,1790.0
2020-08-12,1804.0,1824.0,1848.8,1757.0
2020-08-13,1818.0,1770.0,1818.0,1751.0
2020-08-14,1751.4,1720.6,1762.2,1690.8
2020-08-17,1703.2,1788.4,1799.0,1702.4
2020-08-18,1828.6,1771.2,1834.6,1750.0
2020-08-19,1770.2,1804.0,1855.0,1751.6
2020-08-20,1819.0,1824.0,1845.0,1776.6
2020-08-21,1827.6,1892.0,1900.0,1824.6
2020-08-24,1895.2,1922.8,1930.0,1883.4
2020-08-25,1923.2,2000.0,2000.0,1923.2
2020-08-26,2040.0,1981.2,2050.0,1960.8
2020-08-27,1984.8,1895.0,1989.2,1870.0
2020-08-28,1930.0,1876.0,1930.0,1821.0
2020-08-31,1884.4,1893.4,1950.4,1851.6
2020-09-01,1878.0,1815.2,1878.0,1795.6
2020-09-02,1807.4,1835.8,1869.6,1773.0
2020-09-03,1848.8,1788.0,1866.0,1781.0
2020-09-04,1770.2,1800.0,1820.0,1721.4
2020-09-07,1793.2,1888.2,1905.4,1774.0
2020-09-08,1900.0,1845.0,1919.8,1804.0
2020-09-09,1830.0,1821.6,1858.4,1800.0
2020-09-10,1827.2,1839.4,1859.6,1812.4
2020-09-11,1840.2,1821.0,1859.8,1803.6
2020-09-14,1840.0,1830.6,1857.0,1792.4
2020-09-15,1841.0,1916.8,1925.0,1831.4
2020-09-16,1946.8,1968.0,1988.0,1907.8
2020-09-17,1967.8,1963.2,1997.6,1818.0
2020-09-18,1974.4,1962.2,2014.0,1922.0
2020-09-21,1938.0,1954.2,1995.0,1910.0
2020-09-22,1937.4,2165.0,2195.0,1937.4
2020-09-23,2163.4,2083.2,2165.0,2058.4
2020-09-24,2105.0,2026.0,2117.4,2014.4
2020-09-25,2049.0,2028.4,2055.0,1965.6
2020-09-28,2028.4,2070.0,2085.0,2015.8
2020-09-29,2083.8,2074.2,2088.2,2036.0
2020-09-30,2068.0,2045.2,2068.0,2023.2
2020-10-01,2078.8,2006.0,2078.8,1985.4
2020-10-02,1999.8,2011.0,2030.0,1986.8
2020-10-05,2002.2,2004.8,2099.6,1981.2
2020-10-06,2010.0,1985.0,2041.0,1980.0
2020-10-07,2004.0,1955.8,2005.0,1945.0
2020-10-08,1950.2,1929.0,1959.0,1924.8
2020-10-09,1926.0,1985.8,2002.0,1910.0
2020-10-12,1980.2,1898.0,2019.0,1871.8
2020-10-13,1881.2,1856.4,1909.4,1840.6
