begin,open,close,high,low
2022-09-21,1.39,1.34,1.41,1.32
2022-09-22,1.34,1.47,1.48,1.33
2022-09-23,1.47,1.36,1.48,1.24
2022-09-24,1.36,1.3,1.36,1.3
2022-09-25,1.3,1.27,1.32,1.26
2022-09-26,1.27,1.28,1.29,1.25
2022-09-27,1.28,1.3,1.33,1.27
2022-09-28,1.3,1.32,1.33,1.28
2022-09-29,1.32,1.3,1.32,1.28
2022-09-30,1.3,1.37,1.4,1.29
2022-10-01,1.36,1.39,1.39,1.35
2022-10-02,1.39,1.36,1.4,1.36
2022-10-03,1.36,1.35,1.37,1.33
2022-10-04,1.35,1.4,1.42,1.34
2022-10-05,1.41,1.41,1.42,1.4
2022-10-06,1.41,1.39,1.42,1.39
2022-10-07,1.39,1.37,1.4,1.36
2022-10-08,1.37,1.35,1.37,1.33
2022-10-09,1.35,1.32,1.35,1.31
2022-10-10,1.32,1.27,1.32,1.26
2022-10-11,1.27,1.24,1.27,1.24
2022-10-12,1.24,1.23,1.26,1.23
2022-10-13,1.23,1.2,1.23,1.2
2022-10-14,1.2,1.25,1.25,1.2
2022-10-15,1.25,1.24,1.26,1.23
2022-10-16,1.24,1.23,1.25,1.22
2022-10-17,1.23,1.25,1.25,1.22
2022-10-18,1.25,1.25,1.26,1.24
2022-10-19,1.25,1.23,1.26,1.23
2022-10-20,1.23,1.35,1.39,1.22
2022-10-21,1.36,1.39,1.4,1.34
2022-10-22,1.39,1.38,1.42,1.38
2022-10-23,1.38,1.4,1.41,1.35
2022-10-24,1.4,1.45,1.46,1.39
2022-10-25,1.45,1.84,1.85,1.44
2022-10-26,1.84,1.94,1.96,1.72
2022-10-27,1.94,1.65,1.98,1.58
2022-10-28,1.65,1.68,1.7,1.62
2022-10-29,1.68,1.58,1.69,1.57
2022-10-30,1.58,1.63,1.64,1.56
2022-10-31,1.63,1.51,1.65,1.5
2022-11-01,1.51,1.64,1.64,1.45
2022-11-02,1.64,1.57,1.68,1.55
2022-11-03,1.57,1.61,1.65,1.56
2022-11-04,1.61,1.68,1.7,1.6
2022-11-05,1.68,1.68,1.68,1.63
2022-11-06,1.68,1.61,1.76,1.61
2022-11-07,1.61,1.77,1.77,1.54
2022-11-08,1.77,1.62,1.77,1.56
2022-11-09,1.62,1.37,1.62,1.37
2022-11-10,1.37,1.59,1.59,1.33
2022-11-11,1.59,1.54,1.59,1.49
2022-11-12,1.54,1.55,1.55,1.45
2022-11-13,1.55,1.65,1.72,1.55
2022-11-14,1.65,1.68,1.68,1.58
2022-11-15,1.68,1.69,1.71,1.65
2022-11-16,1.69,1.74,1.78,1.68
2022-11-17,1.74,1.79,1.82,1.69
2022-11-18,1.79,1.8,1.81,1.71
2022-11-19,1.8,1.74,1.81,1.72
2022-11-20,1.74,1.71,1.8,1.71
2022-11-21,1.71,1.72,1.76,1.7
2022-11-22,1.72,1.75,1.75,1.7
2022-11-23,1.75,1.76,1.77,1.73
2022-11-24,1.77,1.75,1.77,1.7
2022-11-25,1.75,1.72,1.75,1.69
2022-11-26,1.72,1.72,1.74,1.71
2022-11-27,1.72,1.73,1.74,1.71
2022-11-28,1.73,1.72,1.74,1.7
2022-11-29,1.72,1.72,1.73,1.71
2022-11-30,1.72,1.76,1.89,1.72
2022-12-01,1.76,1.81,1.82,1.74
2022-12-02,1.81,1.8,1.82,1.77
2022-12-03,1.8,1.8,1.81,1.79
2022-12-04,1.8,1.81,1.83,1.8
2022-12-05,1.81,1.84,1.85,1.81
2022-12-06,1.84,1.81,1.85,1.79
2022-12-07,1.81,1.82,1.89,1.8
2022-12-08,1.82,1.83,1.86,1.82
2022-12-09,1.83,1.86,1.86,1.81
2022-12-10,1.86,1.85,1.87,1.84
