begin,open,close,high,low
2020-02-21,60.47,60.07,60.87,58.7
2020-02-24,55.93,55.59,57.57,54.81
2020-02-25,56.6,53.33,57.11,52.47
2020-02-26,52.17,51.92,54.22,51.74
2020-02-27,48.67,45.27,49.32,44.6
2020-02-28,41.98,44.53,46.03,40.77
2020-03-02,47.42,49.57,49.58,45.78
2020-03-03,53.67,49.7,53.8,47.74
2020-03-04,50.93,49.97,51.1,48.32
2020-03-05,48.25,48.3,49.72,47.87
2020-03-06,46.0,46.9,47.13,45.62
2020-03-09,40.36,40.53,44.2,40.33
2020-03-10,43.96,43.02,44.53,40.53
2020-03-11,42.68,42.28,43.57,40.87
2020-03-12,38.73,37.37,39.63,36.42
2020-03-13,39.67,36.44,40.5,33.47
2020-03-16,31.3,29.67,32.99,29.48
2020-03-17,29.33,28.68,31.46,26.4
2020-03-18,25.93,24.08,26.99,23.37
2020-03-19,24.98,28.51,30.13,23.9
2020-03-20,29.21,28.5,31.8,28.39
2020-03-23,28.91,28.95,29.47,27.37
2020-03-24,31.82,33.67,34.25,31.6
2020-03-25,36.35,35.95,37.13,34.07
2020-03-26,36.49,35.21,37.33,34.15
2020-03-27,33.67,34.29,35.05,32.94
2020-03-30,34.02,33.48,34.44,32.75
2020-03-31,33.42,34.93,36.2,33.13
2020-04-01,33.6,32.1,34.26,31.67
2020-04-02,32.07,30.3,32.95,29.76
2020-04-03,33.97,32.0,34.37,31.23
2020-04-06,34.08,34.42,34.73,33.2
2020-04-07,36.33,36.36,37.67,35.49
2020-04-08,36.95,36.59,37.15,35.56
2020-04-09,37.47,38.2,38.35,37.14
2020-04-13,39.34,43.4,43.47,38.7
2020-04-14,46.6,47.33,49.46,46.16
2020-04-15,49.47,48.66,50.21,47.33
2020-04-16,47.8,49.68,50.63,47.11
2020-04-17,51.49,50.26,51.66,49.84
2020-04-20,48.85,49.76,51.04,47.48
2020-04-21,48.67,45.78,50.22,44.92
2020-04-22,46.93,48.81,48.93,45.91
2020-04-23,48.51,47.04,48.93,46.88
2020-04-24,47.39,48.34,48.72,46.55
2020-04-27,49.17,53.25,53.3,49.0
2020-04-28,53.04,51.27,53.67,50.45
2020-04-29,52.68,53.37,53.55,52.21
2020-04-30,57.01,52.13,57.99,50.9
2020-05-01,50.33,46.75,51.52,45.54
2020-05-04,46.73,50.75,50.8,46.53
2020-05-05,52.65,51.21,53.26,50.81
2020-05-06,51.77,52.17,52.65,50.74
2020-05-07,51.81,52.0,53.09,51.49
2020-05-08,52.92,54.63,54.93,52.47
2020-05-11,52.7,54.09,54.93,52.33
2020-05-12,55.13,53.96,56.22,53.87
2020-05-13,54.72,52.73,55.07,50.89
2020-05-14,52.0,53.56,53.56,50.93
2020-05-15,52.69,53.28,53.67,52.44
2020-05-18,55.19,54.24,55.65,53.59
2020-05-19,54.34,53.87,54.8,53.74
2020-05-20,54.7,54.37,55.07,54.12
2020-05-21,54.4,55.17,55.5,53.07
2020-05-22,54.81,54.46,55.45,54.13
2020-05-26,55.63,54.59,55.64,54.38
2020-05-27,54.72,54.68,55.18,52.33
2020-05-28,54.23,53.72,54.98,53.45
2020-05-29,53.92,55.67,55.67,53.61
2020-06-01,57.2,59.87,59.93,56.94
2020-06-02,59.65,58.77,60.58,58.07
2020-06-03,59.21,58.86,59.86,58.67
2020-06-04,59.33,57.63,59.72,57.23
2020-06-05,58.52,59.04,59.1,57.75
2020-06-08,61.27,63.33,63.33,60.61
2020-06-09,62.67,62.71,63.63,61.6
2020-06-10,66.13,68.34,68.5,65.5
2020-06-11,66.01,64.86,67.93,64.8
2020-06-12,65.33,62.35,65.87,60.84
2020-06-15,61.19,66.06,66.59,60.57
2020-06-16,67.46,65.48,67.53,64.16
2020-06-17,65.85,66.12,67.0,65.5
2020-06-18,66.87,66.93,67.95,66.3
2020-06-19,67.52,66.73,67.73,66.09
2020-06-22,66.66,66.29,67.26,66.0
2020-06-23,66.59,66.79,67.47,66.27
2020-06-24,66.27,64.06,66.73,63.54
2020-06-25,63.62,65.73,65.73,62.48
2020-06-26,66.32,63.98,66.33,63.66
2020-06-29,64.6,67.29,67.33,63.23
2020-06-30,67.1,71.99,72.51,66.92
2020-07-01,72.2,74.64,75.69,72.03
2020-07-02,81.43,80.58,81.87,79.04
2020-07-06,85.11,91.44,91.85,84.4
2020-07-07,93.67,92.66,95.3,89.11
2020-07-08,93.67,91.06,94.48,87.42
2020-07-09,93.13,92.95,93.9,90.09
2020-07-10,93.07,102.98,103.26,91.73
2020-07-13,110.6,99.8,119.67,98.07
2020-07-14,103.73,101.12,106.0,95.4
2020-07-15,102.87,103.07,103.33,97.13
2020-07-16,98.48,100.04,102.11,97.73
2020-07-17,100.9,100.06,102.5,99.33
2020-07-20,101.27,109.53,110.0,99.2
2020-07-21,109.33,104.56,111.67,103.87
2020-07-22,106.6,106.16,108.43,104.13
2020-07-23,111.93,100.87,112.6,98.72
2020-07-24,94.4,94.47,97.67,91.1
2020-07-27,95.67,102.64,103.2,94.2
2020-07-28,100.27,98.43,104.31,98.29
