begin,open,close,high,low
2021-03-15,2.836,2.972,2.981,2.836
2021-03-16,2.986,2.922,2.99,2.906
2021-03-17,2.92,2.944,2.979,2.915
2021-03-18,2.95,2.922,3.004,2.906
2021-03-19,2.914,2.95,2.968,2.912
2021-03-22,2.95,2.933,2.95,2.909
2021-03-23,2.916,2.916,2.928,2.901
2021-03-24,2.907,2.914,2.929,2.892
2021-03-25,2.902,2.908,2.921,2.876
2021-03-26,2.915,2.897,2.919,2.894
2021-03-29,2.919,2.958,2.958,2.906
2021-03-30,2.954,2.911,2.965,2.89
2021-03-31,2.905,2.949,2.949,2.892
2021-04-01,2.925,2.93,2.95,2.921
2021-04-02,2.931,2.921,2.943,2.92
2021-04-05,2.938,2.896,2.938,2.892
2021-04-06,2.904,2.867,2.91,2.86
2021-04-07,2.87,2.866,2.9,2.857
2021-04-08,2.867,2.858,2.892,2.855
2021-04-09,2.9,2.89,2.914,2.872
2021-04-12,2.89,2.899,2.913,2.865
2021-04-13,2.897,2.883,2.91,2.877
2021-04-14,2.896,2.887,2.905,2.884
2021-04-15,2.886,2.876,2.893,2.873
2021-04-16,2.876,2.881,2.902,2.875
2021-04-19,2.887,2.88,2.894,2.875
2021-04-20,2.898,2.883,2.903,2.878
2021-04-21,2.877,2.896,2.898,2.877
2021-04-22,2.89,2.883,2.899,2.873
2021-04-23,2.884,2.876,2.89,2.872
2021-04-26,2.88,2.894,2.899,2.879
2021-04-27,2.895,2.873,2.898,2.87
2021-04-28,2.875,2.851,2.883,2.845
2021-04-29,2.868,2.833,2.869,2.831
2021-04-30,2.834,2.872,2.88,2.831
2021-05-04,2.872,2.841,2.877,2.84
2021-05-05,2.85,2.883,2.887,2.85
2021-05-06,2.891,2.841,2.91,2.82
2021-05-07,2.843,2.837,2.86,2.835
2021-05-10,2.853,2.87,2.872,2.842
2021-05-11,2.87,2.857,2.87,2.856
2021-05-12,2.868,2.849,2.872,2.849
2021-05-13,2.857,2.835,2.859,2.832
2021-05-14,2.836,2.826,2.849,2.824
2021-05-17,2.844,2.831,2.848,2.827
2021-05-18,2.831,2.834,2.851,2.83
2021-05-19,2.841,2.82,2.842,2.812
2021-05-20,2.82,2.836,2.84,2.82
2021-05-21,2.836,2.834,2.839,2.828
2021-05-24,2.837,2.859,2.859,2.833
2021-05-25,2.863,2.861,2.873,2.847
2021-05-26,2.867,2.834,2.867,2.832
2021-05-27,2.834,2.906,2.906,2.816
2021-05-28,2.87,2.879,2.879,2.847
2021-05-31,2.875,2.895,2.895,2.863
2021-06-01,2.898,2.885,2.915,2.875
2021-06-02,2.896,2.914,2.92,2.883
2021-06-03,2.919,2.912,2.923,2.895
2021-06-04,2.916,2.914,2.926,2.895
2021-06-07,2.918,2.905,2.921,2.901
2021-06-08,2.914,2.935,2.935,2.905
2021-06-09,2.935,2.914,2.948,2.912
2021-06-10,2.914,2.931,2.931,2.91
2021-06-11,2.929,2.968,2.97,2.925
2021-06-14,2.958,2.977,2.984,2.958
2021-06-15,2.977,2.965,2.983,2.956
2021-06-16,2.96,2.951,2.973,2.951
2021-06-17,2.96,2.913,2.96,2.905
2021-06-18,2.92,2.926,2.933,2.905
2021-06-21,2.816,2.812,2.833,2.806
2021-06-22,2.822,2.833,2.84,2.816
2021-06-23,2.836,2.815,2.839,2.815
2021-06-24,2.82,2.805,2.825,2.801
2021-06-25,2.81,2.797,2.811,2.794
2021-06-28,2.808,2.802,2.819,2.799
2021-06-29,2.809,2.77,2.811,2.763
2021-06-30,2.779,2.757,2.784,2.756
2021-07-01,2.766,2.777,2.782,2.757
2021-07-02,2.78,2.765,2.78,2.762
2021-07-05,2.774,2.767,2.775,2.751
2021-07-06,2.774,2.767,2.776,2.757
2021-07-07,2.767,2.771,2.779,2.757
2021-07-08,2.772,2.756,2.795,2.755
2021-07-09,2.756,2.789,2.789,2.756
2021-07-12,2.79,2.793,2.798,2.786
2021-07-13,2.799,2.809,2.809,2.785
2021-07-14,2.805,2.774,2.81,2.77
2021-07-15,2.782,2.763,2.782,2.76
2021-07-16,2.763,2.83,2.835,2.758
2021-07-19,2.826,2.712,2.826,2.71
2021-07-20,2.723,2.711,2.739,2.704
2021-07-21,2.719,2.729,2.75,2.715
2021-07-22,2.731,2.726,2.743,2.719
2021-07-23,2.738,2.736,2.739,2.718
2021-07-26,2.717,2.73,2.75,2.717
2021-07-27,2.71,2.734,2.741,2.71
2021-07-28,2.74,2.767,2.809,2.736
2021-07-29,2.783,2.75,2.787,2.75
2021-07-30,2.75,2.741,2.766,2.741
2021-08-02,2.768,2.741,2.768,2.74
