begin,open,close,high,low
2021-12-14,914.4,897.4,950.0,842.8
2021-12-15,900.0,961.0,973.8,883.6
2021-12-16,966.0,982.8,1019.0,951.4
2021-12-17,983.0,962.0,1002.2,940.0
2021-12-20,957.2,912.0,957.8,891.0
2021-12-21,915.0,924.6,948.0,915.0
2021-12-22,924.6,912.2,929.6,895.0
2021-12-23,912.2,880.2,918.0,872.6
2021-12-24,878.4,877.0,884.2,850.0
2021-12-27,878.0,884.8,899.0,877.0
2021-12-28,885.0,876.6,894.2,870.0
2021-12-29,876.0,865.4,883.0,860.0
2021-12-30,865.4,872.4,874.0,859.4
2022-01-03,873.0,885.8,889.8,869.0
2022-01-04,888.8,874.0,888.8,865.2
2022-01-05,874.0,816.2,878.8,813.2
2022-01-06,811.6,793.0,836.2,774.0
2022-01-10,796.0,766.8,805.0,752.6
2022-01-11,770.0,770.8,780.2,756.0
2022-01-12,770.0,770.4,791.6,763.0
2022-01-13,768.4,754.6,783.0,739.4
2022-01-14,754.6,686.4,765.0,660.0
2022-01-17,686.4,710.6,722.2,652.0
2022-01-18,710.6,662.8,718.8,640.0
2022-01-19,664.8,675.6,696.8,612.2
2022-01-20,670.4,683.0,741.0,670.4
2022-01-21,684.0,645.8,688.4,640.2
2022-01-24,651.0,596.2,662.4,556.8
2022-01-25,595.0,594.2,613.4,562.2
2022-01-26,596.0,583.0,604.0,567.8
2022-01-27,576.0,591.2,609.4,571.0
2022-01-28,594.4,597.0,607.8,585.0
2022-01-31,597.2,630.0,635.0,597.2
2022-02-01,630.2,655.6,666.6,630.2
2022-02-02,659.8,633.0,685.0,615.6
2022-02-03,621.0,602.0,624.8,588.8
2022-02-04,611.0,580.8,623.0,555.0
2022-02-07,583.6,581.8,592.8,564.8
2022-02-08,580.0,609.8,614.0,578.2
2022-02-09,610.0,635.0,639.6,609.0
2022-02-10,647.0,607.4,656.4,598.4
2022-02-11,607.4,584.8,612.0,575.0
2022-02-14,580.2,596.0,596.0,559.8
