begin,open,close,high,low
2023-04-06,200.44,211.94,212.79,200.44
2023-04-07,214.0,216.51,220.0,207.11
2023-04-10,218.05,236.77,238.6,218.05
2023-04-11,238.86,260.2,265.32,238.2
2023-04-12,265.01,257.7,275.0,251.5
2023-04-13,258.4,243.0,260.79,240.3
2023-04-14,247.5,253.55,258.0,247.01
2023-04-17,259.0,254.79,262.0,251.0
2023-04-18,256.49,252.0,256.49,248.16
2023-04-19,252.0,246.85,253.0,243.0
2023-04-20,247.01,242.95,247.99,238.43
2023-04-21,242.5,242.0,246.94,237.0
2023-04-24,240.5,244.6,245.24,238.51
2023-04-25,246.42,244.25,246.42,243.0
2023-04-26,246.8,245.03,253.0,243.14
2023-04-27,244.0,240.86,245.87,240.0
2023-04-28,240.91,234.09,241.59,231.77
2023-05-02,234.15,224.5,235.64,210.01
2023-05-03,225.0,218.08,226.0,214.6
2023-05-04,209.3,213.48,223.61,206.0
2023-05-05,213.85,216.22,218.0,213.54
2023-05-08,216.49,210.6,217.54,208.55
2023-05-10,210.6,218.52,223.5,210.0
2023-05-11,226.5,224.44,230.0,219.0
2023-05-12,225.2,222.18,225.2,218.78
2023-05-15,222.18,226.9,233.5,217.09
2023-05-16,231.0,227.11,232.75,226.05
2023-05-17,227.8,223.2,229.94,222.21
2023-05-18,223.17,221.71,224.97,218.4
2023-05-19,221.04,214.56,221.49,212.6
2023-05-22,216.6,225.0,225.0,216.0
2023-05-23,226.0,225.04,230.0,219.5
2023-05-24,225.0,223.5,227.95,222.23
2023-05-25,220.8,222.22,225.09,220.8
2023-05-26,222.0,221.96,223.0,216.2
2023-05-29,221.33,223.22,225.05,221.22
2023-05-30,221.3,219.19,222.93,217.0
2023-05-31,216.0,215.27,217.94,210.59
2023-06-01,215.27,215.52,217.94,212.73
2023-06-02,215.52,214.91,216.75,213.0
2023-06-05,214.35,216.2,220.65,213.5
2023-06-06,215.55,214.29,218.61,212.25
2023-06-07,215.6,212.1,216.36,211.05
2023-06-08,211.76,211.87,213.0,210.71
2023-06-09,212.58,211.1,213.64,211.01
2023-06-13,211.23,213.14,214.12,211.16
2023-06-14,213.92,213.6,214.45,212.5
2023-06-15,213.6,220.49,224.0,213.18
2023-06-16,221.2,223.5,229.2,220.7
2023-06-19,225.5,223.0,227.0,219.0
2023-06-20,226.0,232.01,235.95,225.0
2023-06-21,233.2,236.52,237.5,232.18
2023-06-22,233.68,233.22,238.5,232.2
2023-06-23,233.0,233.0,240.66,224.41
2023-06-26,229.69,225.45,232.0,222.89
2023-06-27,225.45,227.0,227.86,225.34
2023-06-28,227.19,229.89,233.5,227.0
2023-06-29,230.3,230.46,234.88,230.0
2023-06-30,231.28,227.97,235.14,226.86
2023-07-03,228.0,224.74,230.0,221.02
2023-07-04,224.94,223.84,224.98,219.6
2023-07-05,223.0,221.5,223.42,219.8
2023-07-06,221.5,217.9,222.39,215.4
2023-07-07,217.02,220.0,222.22,215.36
2023-07-10,220.99,222.8,223.3,218.39
2023-07-11,223.33,222.5,223.34,221.38
2023-07-12,223.2,230.4,234.32,222.56
2023-07-13,230.5,229.08,231.98,227.27
2023-07-14,231.0,229.41,231.0,227.95
2023-07-17,229.0,228.13,229.5,222.41
2023-07-18,228.13,229.52,230.46,227.2
2023-07-19,232.0,230.1,235.46,229.0
2023-07-20,231.0,226.85,231.69,226.1
2023-07-21,228.66,226.85,228.86,223.53
2023-07-24,228.66,226.55,229.0,225.88
2023-07-25,226.6,230.3,231.41,226.55
2023-07-26,231.5,234.62,235.0,231.21
2023-07-27,235.33,241.9,243.99,235.06
2023-07-28,242.89,239.92,244.78,238.5
2023-07-31,241.14,240.0,243.4,235.0
2023-08-01,242.5,239.67,243.46,238.04
2023-08-02,240.52,239.69,241.4,239.12
2023-08-03,239.69,239.6,240.98,236.2
2023-08-04,239.6,226.5,246.0,195.0
2023-08-07,231.84,236.7,240.8,230.04
2023-08-08,237.11,239.78,244.0,230.58
2023-08-09,241.5,256.0,262.2,239.78
2023-08-10,257.0,256.49,257.43,252.5
2023-08-11,256.47,258.5,260.44,255.74
2023-08-14,260.0,249.0,267.0,237.15
2023-08-15,248.0,259.0,269.86,240.0
2023-08-16,259.0,251.9,265.0,245.0
2023-08-17,252.33,252.12,259.65,246.2
2023-08-18,253.0,250.0,253.97,247.1
2023-08-21,250.74,250.84,257.8,249.75
2023-08-22,252.64,259.01,262.85,251.43
2023-08-23,260.2,257.0,265.0,253.7
2023-08-24,257.0,258.5,261.0,253.01
2023-08-25,258.0,259.0,265.0,257.5
2023-08-28,269.98,259.6,271.96,257.37
2023-08-29,260.96,257.08,263.86,255.25
2023-08-30,257.1,248.7,258.0,247.19
2023-08-31,248.7,241.64,251.2,238.6
2023-09-01,242.35,242.81,249.11,242.2
2023-09-04,243.0,243.99,247.98,238.36
2023-09-05,245.0,242.15,245.0,240.11
2023-09-06,242.3,237.52,242.3,233.27
2023-09-07,237.56,230.69,238.5,228.07
2023-09-08,230.69,225.56,233.49,220.2
2023-09-11,225.56,217.99,226.28,216.87
2023-09-12,219.7,229.65,229.91,218.96
2023-09-13,226.8,225.0,229.14,222.93
2023-09-14,225.32,217.8,225.99,211.84
2023-09-15,219.33,222.36,224.49,216.84
2023-09-18,222.36,216.63,223.12,215.65
2023-09-19,216.63,211.73,216.99,208.3
2023-09-20,211.0,210.56,215.13,201.28
2023-09-21,210.18,207.4,210.34,204.66
2023-09-22,207.45,210.02,210.6,206.08
2023-09-25,210.02,209.31,214.72,208.64
2023-09-26,209.17,209.8,215.13,207.52
2023-09-27,209.17,209.39,212.5,208.2
2023-09-28,210.86,214.32,218.67,210.0
2023-09-29,214.32,214.13,220.0,212.0
2023-10-02,215.0,212.95,217.19,212.49
2023-10-03,212.5,211.15,215.43,209.13
2023-10-04,212.1,208.88,212.42,207.5
2023-10-05,208.88,205.0,210.0,204.2
2023-10-06,205.0,204.67,206.2,201.5
2023-10-09,203.01,209.09,210.45,203.01
2023-10-10,209.63,210.96,212.05,208.09
2023-10-11,212.5,215.12,224.82,212.01
2023-10-12,213.0,215.89,219.27,210.51
2023-10-13,216.1,217.19,219.22,214.85
2023-10-16,220.0,225.0,225.62,218.01
2023-10-17,228.35,224.94,229.0,216.23
2023-10-18,230.1,221.84,232.0,220.01
2023-10-19,221.84,218.52,223.0,213.13
2023-10-20,219.29,216.4,219.29,216.0
2023-10-23,216.4,220.0,220.0,213.5
2023-10-24,217.12,217.2,218.5,215.1
2023-10-25,217.7,217.55,218.86,216.0
2023-10-26,217.56,214.19,218.3,214.19
2023-10-27,214.19,212.1,215.55,208.4
2023-10-30,213.1,218.68,218.68,210.56
2023-10-31,214.99,214.5,216.94,212.44
2023-11-01,214.0,215.93,217.5,213.7
2023-11-02,216.89,215.0,217.9,214.61
2023-11-03,216.18,219.0,219.0,212.63
2023-11-06,216.0,217.7,217.99,215.3
2023-11-07,217.75,218.55,222.45,215.5
