begin,open,close,high,low
2020-02-07,3058.6,3103.8,3140.0,3022.4
2020-02-10,3103.8,3087.2,3143.0,3065.0
2020-02-11,3095.0,3085.0,3131.2,3066.2
2020-02-12,3084.6,3037.2,3084.6,3033.0
2020-02-13,3067.0,3087.4,3097.0,3035.2
2020-02-14,3120.0,3011.0,3127.6,2950.8
2020-02-17,2980.0,2983.6,2989.8,2935.4
2020-02-18,2993.0,2937.0,2993.0,2917.2
2020-02-19,2918.6,2953.0,2991.2,2912.6
2020-02-20,2942.8,2988.4,2996.4,2941.4
2020-02-21,2970.2,2911.8,2996.0,2910.6
2020-02-25,2800.0,2681.8,2869.8,2672.6
2020-02-26,2661.6,2690.8,2704.8,2538.4
2020-02-27,2666.0,2678.2,2744.4,2620.4
2020-02-28,2622.0,2659.8,2686.0,2540.2
2020-03-02,2749.8,2721.4,2762.8,2615.2
2020-03-03,2745.0,2723.0,2784.8,2701.4
2020-03-04,2680.0,2654.2,2708.8,2632.6
2020-03-05,2755.0,2728.2,2755.0,2643.2
2020-03-06,2700.8,2685.0,2711.8,2556.0
2020-03-10,2509.2,2590.0,2757.8,2500.0
2020-03-11,2616.8,2615.0,2640.0,2520.0
2020-03-12,2559.8,2460.0,2560.0,2350.0
2020-03-13,2439.8,2470.0,2620.6,2400.0
2020-03-16,2459.6,2370.0,2459.6,2241.2
2020-03-17,2312.8,2425.0,2438.8,2257.0
2020-03-18,2357.0,2318.8,2400.0,2251.0
2020-03-19,2346.8,2434.0,2464.4,2273.2
2020-03-20,2482.6,2455.2,2593.4,2414.0
2020-03-23,2368.6,2299.8,2494.4,2295.0
2020-03-24,2363.0,2459.0,2489.0,2363.0
2020-03-25,2550.0,2555.8,2595.0,2480.2
2020-03-26,2584.0,2610.0,2640.0,2505.0
2020-03-27,2650.0,2597.0,2668.0,2552.6
2020-03-30,2577.2,2670.2,2678.8,2577.0
2020-03-31,2700.0,2714.4,2749.4,2647.0
2020-04-01,2652.0,2605.8,2679.6,2591.0
2020-04-02,2621.0,2550.8,2650.0,2493.8
2020-04-03,2540.2,2520.0,2584.0,2514.4
2020-04-06,2566.4,2582.0,2609.0,2536.2
2020-04-07,2609.0,2668.0,2695.0,2602.2
2020-04-08,2622.0,2742.6,2742.6,2600.2
2020-04-09,2724.8,2697.2,2755.8,2661.2
2020-04-10,2705.6,2701.0,2705.6,2671.6
2020-04-13,2659.6,2659.0,2688.0,2623.2
2020-04-14,2698.8,2755.6,2782.4,2687.6
2020-04-15,2718.6,2588.2,2719.8,2584.4
2020-04-16,2603.0,2637.8,2680.0,2570.2
2020-04-17,2659.6,2630.4,2668.8,2620.2
2020-04-20,2670.0,2736.4,2746.0,2642.0
2020-04-21,2681.6,2659.2,2695.4,2601.0
2020-04-22,2651.6,2655.0,2706.8,2631.2
2020-04-23,2666.0,2640.6,2677.0,2621.4
2020-04-24,2634.4,2621.0,2655.0,2606.6
2020-04-27,2651.6,2715.0,2715.0,2647.0
2020-04-28,2730.2,2754.8,2856.8,2716.4
2020-04-29,2807.0,2870.0,2874.0,2775.4
2020-04-30,2898.0,2850.8,2924.0,2812.2
2020-05-04,2809.8,2828.8,2848.8,2776.8
2020-05-05,2849.0,2842.2,2876.8,2831.0
2020-05-06,2849.2,2864.0,2883.2,2830.2
2020-05-07,2869.0,2910.2,2918.8,2858.0
2020-05-08,2979.2,2975.2,2992.0,2933.0
2020-05-12,2968.2,2977.0,2979.8,2927.0
2020-05-13,2959.0,2893.4,2959.0,2890.4
2020-05-14,2875.0,2821.8,2883.0,2785.8
2020-05-15,2856.8,2839.6,2894.0,2795.8
2020-05-18,2885.4,2945.0,2947.0,2870.4
2020-05-19,2975.2,2970.0,2980.0,2923.6
2020-05-20,2956.8,2964.6,3000.0,2941.0
2020-05-21,2942.0,2910.8,2960.0,2895.0
2020-05-22,2887.6,2905.0,2938.8,2880.6
2020-05-25,2914.2,2960.6,2962.0,2908.2
2020-05-26,2968.2,2913.2,2992.8,2911.4
2020-05-27,2905.8,2826.0,2942.8,2817.2
2020-05-28,2876.8,2888.0,2916.8,2860.4
2020-05-29,2865.0,2833.2,2884.0,2811.6
2020-06-01,2849.6,2846.0,2869.8,2814.4
2020-06-02,2845.0,2837.8,2875.0,2821.2
2020-06-03,2837.2,2867.6,2879.6,2835.0
2020-06-04,2856.0,2861.6,2882.0,2837.0
2020-06-05,2871.0,2884.0,2911.8,2850.0
2020-06-08,2896.6,2873.2,2917.8,2866.0
2020-06-09,2897.0,2902.0,2905.0,2855.0
2020-06-10,2896.2,2881.2,2919.4,2867.0
2020-06-11,2873.0,2850.0,2879.8,2817.6
2020-06-15,2836.0,2967.4,2975.0,2820.4
2020-06-16,2984.2,3009.0,3062.0,2967.4
2020-06-17,3024.8,3068.2,3074.0,3010.0
2020-06-18,3058.6,3108.0,3115.0,3021.2
2020-06-19,3108.0,3155.0,3176.2,3107.0
2020-06-22,3170.2,3254.2,3270.8,3115.0
2020-06-23,3240.4,3358.6,3444.8,3240.4
2020-06-25,3432.2,3499.0,3509.2,3383.0
2020-06-26,3476.2,3430.0,3519.4,3417.0
2020-06-29,3431.2,3467.0,3483.2,3380.2
2020-06-30,3467.6,3545.6,3564.6,3423.0
2020-07-02,3524.0,3548.6,3588.0,3502.0
2020-07-03,3560.4,3549.6,3575.0,3513.0
2020-07-06,3572.8,3639.0,3710.0,3555.6
2020-07-07,3643.0,3598.8,3664.2,3572.0
2020-07-08,3595.4,3581.8,3636.0,3553.0
2020-07-09,3590.0,3637.8,3658.0,3575.4
2020-07-10,3629.6,3633.0,3684.8,3590.6
2020-07-13,3637.0,3678.0,3719.6,3635.0
2020-07-14,3670.2,3772.0,3789.0,3581.2
2020-07-15,3762.0,3882.8,3896.4,3762.0
2020-07-16,3844.8,3824.0,3882.8,3807.0
2020-07-17,3824.0,3950.0,3966.0,3824.0
2020-07-20,3957.0,4029.0,4029.4,3901.0
2020-07-21,4015.0,3964.0,4202.0,3921.2
2020-07-22,3965.0,4010.0,4026.6,3910.6
2020-07-23,4020.0,4002.8,4069.6,3952.2
2020-07-24,3982.0,4017.2,4045.0,3931.0
2020-07-27,4035.0,4123.0,4155.0,4012.0
2020-07-28,4194.0,4114.4,4198.8,3971.8
2020-07-29,4131.0,4187.8,4222.0,4121.6
2020-07-30,4182.2,4191.0,4196.8,4104.4
2020-07-31,4213.0,4257.0,4267.6,4180.2
2020-08-03,4261.2,4288.6,4328.8,4242.6
2020-08-04,4304.0,4312.0,4348.8,4280.2
2020-08-05,4333.2,4340.2,4355.0,4310.0
2020-08-06,4335.0,4413.8,4417.6,4330.2
2020-08-07,4394.0,4360.0,4443.6,4321.0
2020-08-10,4381.0,4205.0,4396.0,4173.8
2020-08-11,4228.2,4185.8,4329.0,4135.2
2020-08-12,4208.2,4288.8,4330.0,4182.0
2020-08-13,4411.0,4366.0,4554.2,4317.4
2020-08-14,4406.6,4389.6,4459.8,4370.4
2020-08-17,4409.8,4500.0,4534.6,4406.0
2020-08-18,4491.6,4503.0,4548.0,4464.4
2020-08-19,4513.0,4620.0,4624.4,4505.4
2020-08-20,4594.8,4700.0,4760.0,4586.0
2020-08-21,4725.0,4772.0,4823.8,4717.6
2020-08-24,4800.0,4913.4,4920.0,4770.2
2020-08-25,4920.0,5055.0,5078.2,4890.6
2020-08-26,5060.4,4973.6,5135.8,4816.4
2020-08-27,4993.6,4842.8,5022.8,4791.0
2020-08-28,4870.2,4845.0,4928.2,4761.0
2020-08-31,4890.6,5089.4,5165.0,4881.0
2020-09-01,5080.0,5033.0,5177.0,4984.8
