date,bought,count,price
2020-06-02,True,4,78.52
2020-06-17,True,11,86.94
2020-07-20,True,17,94.41
2020-09-08,True,10,111.78
2020-09-10,True,33,118.07
2020-09-11,True,113,112.39
2020-09-21,True,6,102.55
2020-10-23,True,9,114.17
2020-11-20,True,2,116.58
2020-11-30,True,18,114.94
2020-12-14,True,92,120.47
2020-12-15,True,41,122.18
2021-01-20,True,16,126.43
2021-02-04,True,3,133.93
2021-02-17,True,3,129.16
2021-05-07,True,2,128.99
2021-07-29,True,13,142.63
2021-07-30,True,6,142.33
2021-08-02,True,2,144.28
2021-08-11,True,8,144.19
2021-08-30,True,2,147.1
2021-09-20,True,9,141.97
2021-10-01,True,7,140.09
2021-10-07,True,2,141.24
2021-10-26,True,25,147.43
2021-11-02,True,38,146.77
2022-02-08,True,2,170.01
2022-02-24,True,9,151.05
2022-03-01,True,3,163.05
2022-04-14,True,9,168.91
2022-04-18,True,2,162.27
2022-05-13,True,19,143.35
2022-05-17,True,135,147.58
2022-06-08,True,5,147.3
2022-07-05,True,6,136.59
2022-08-29,True,6,159.99
2022-08-31,True,14,159.15
2022-09-06,True,3,155.34
2022-09-20,True,11,152.29
2022-10-11,True,5,138.89
2022-10-14,True,11,143.27
2022-11-07,True,2,136.35
2023-01-04,True,4,126.18
2023-01-06,True,5,125.31
2023-02-23,True,43,149.48
2023-03-14,True,2,150.67
2023-03-16,True,2,151.55
2023-04-12,True,3,160.57
2023-04-24,True,17,164.33
2023-04-25,True,11,164.52
2023-05-15,True,11,172.7
2023-05-18,True,13,172.54
2023-07-13,True,13,189.99
2023-07-14,True,18,189.72
2023-08-09,True,19,180.39
2023-08-10,True,25,179.0
2023-08-18,True,6,172.07
2023-09-26,True,16,174.59
2023-10-20,True,3,175.08
2023-11-29,True,5,190.9
2023-11-30,True,3,189.84
2023-12-01,True,15,190.33
2023-12-12,True,24,193.08
2023-12-13,True,24,195.09
2024-01-04,True,26,182.15
2020-06-10,False,4,85.16
2020-06-22,False,11,86.01
2020-07-31,False,17,100.74
2020-09-10,False,10,118.07
2020-09-17,False,33,107.63
2020-09-21,False,113,102.55
2020-09-22,False,6,110.53
2020-11-10,False,9,113.54
2020-12-03,False,18,121.38
2020-12-16,False,2,125.2
2020-12-22,False,92,129.33
2020-12-23,False,41,129.87
2021-01-22,False,16,133.91
2021-02-23,False,3,121.79
2021-02-26,False,3,120.64
2021-06-18,False,2,128.85
2021-08-31,False,13,150.72
2021-09-01,False,6,150.88
2021-09-02,False,2,151.91
2021-09-03,False,8,151.8
2021-09-08,False,2,154.98
2021-10-11,False,11,140.46
2021-10-13,False,7,139.44
2021-11-19,False,25,155.87
2021-11-22,False,38,159.85
2022-02-24,False,2,151.05
2022-02-25,False,9,162.2
2022-03-14,False,3,149.93
2022-04-22,False,9,164.79
2022-05-12,False,2,141.54
2022-05-20,False,135,137.9
2022-06-13,False,19,131.73
2022-06-14,False,5,131.99
2022-07-08,False,6,144.01
2022-09-19,False,6,148.23
2022-09-26,False,14,148.58
2022-09-29,False,3,145.05
2022-09-30,False,11,140.26
2022-10-25,False,5,149.01
2022-10-31,False,11,152.06
2022-11-11,False,2,145.01
2023-01-12,False,4,133.14
2023-01-17,False,5,134.08
2023-03-22,False,43,158.66
2023-03-27,False,2,159.29
2023-03-30,False,2,160.88
2023-05-02,False,3,169.4
2023-05-11,False,17,173.15
2023-05-19,False,11,175.92
2023-06-05,False,11,182.14
2023-06-13,False,13,182.31
2023-08-11,False,13,177.09
2023-08-16,False,18,176.9
2023-08-30,False,6,184.7
2023-09-01,False,25,189.24
2023-09-21,False,19,174.32
2023-10-05,False,16,173.56
2023-11-13,False,3,185.82
2024-01-04,False,24,182.15
2024-01-22,False,26,192.3
2024-02-02,False,24,179.86
2024-02-07,False,5,190.64
