date,bought,count,price
2020-02-21,True,18,115.7
2020-03-16,True,5,71.5
2020-03-31,True,13,66.04
2020-05-18,True,6,71.82
2020-06-15,True,10,85.5
2020-06-18,True,9,82.88
2020-06-30,True,4,82.82
2020-07-10,True,24,80.5
2020-07-13,True,53,81.62
2020-07-30,True,34,83.68
2020-07-31,True,29,82.54
2020-08-06,True,12,80.0
2020-08-20,True,17,83.48
2020-09-10,True,2,82.1
2020-10-01,True,5,74.36
2020-10-02,True,5,70.0
2020-10-13,True,4,59.5
2020-11-23,True,5,69.0
2020-12-01,True,15,72.1
2020-12-17,True,3,71.5
2021-01-29,True,2,71.0
2021-02-02,True,15,70.46
2021-02-03,True,6,70.62
2021-02-24,True,2,69.12
2021-03-11,True,5,70.1
2021-04-09,True,5,66.94
2021-05-05,True,4,65.3
2021-05-31,True,4,69.92
2021-07-16,True,10,67.76
2021-08-05,True,3,66.66
2021-08-13,True,6,67.0
2021-09-07,True,12,68.76
2021-09-15,True,3,66.9
2021-09-17,True,5,66.7
2021-10-20,True,4,69.04
2021-10-28,True,5,68.6
2021-11-22,True,9,66.2
2021-12-08,True,2,62.3
2022-01-12,True,15,63.34
2022-03-29,True,20,26.04
2022-04-11,True,3,36.92
2022-04-15,True,35,33.98
2022-04-21,True,3,32.26
2022-05-30,True,2,28.74
2022-06-01,True,6,28.0
2022-06-06,True,17,26.74
2022-06-08,True,2,27.54
2022-06-16,True,5,25.96
2022-06-23,True,13,26.8
2022-06-28,True,8,28.0
2022-08-02,True,5,27.54
2022-08-05,True,6,26.64
2022-08-19,True,10,27.0
2022-08-23,True,5,27.06
2022-09-14,True,6,29.88
2022-09-29,True,22,23.34
2022-10-12,True,22,23.48
2022-11-15,True,3,25.66
2022-11-30,True,5,25.04
2022-12-01,True,14,25.0
2022-12-05,True,13,24.78
2022-12-19,True,5,24.18
2023-01-20,True,39,27.48
2023-01-30,True,4,27.86
2023-02-06,True,3,27.8
2023-02-21,True,2,27.42
2023-03-17,True,2,28.29
2023-05-11,True,3,38.49
2023-06-02,True,5,39.22
2023-06-06,True,2,39.1
2023-06-23,True,4,41.9
2023-09-22,True,5,40.42
2023-10-05,True,3,40.65
2023-10-23,True,15,40.93
2023-10-25,True,21,40.67
2023-10-27,True,5,40.08
2023-11-03,True,14,39.25
2023-11-17,True,3,38.3
2023-11-27,True,17,38.51
2023-12-05,True,3,35.7
2023-12-11,True,5,35.83
2024-01-19,True,3,37.9
2020-02-27,False,18,106.7
2020-03-18,False,5,63.28
2020-04-02,False,13,69.56
2020-05-28,False,6,78.58
2020-06-17,False,10,90.26
2020-07-21,False,24,85.2
2020-07-22,False,9,88.0
2020-07-22,False,53,88.0
2020-07-27,False,4,88.64
2020-08-13,False,12,85.5
2020-08-26,False,51,83.04
2020-09-17,False,29,82.32
2020-09-21,False,2,80.98
2020-10-05,False,5,69.0
2020-10-08,False,5,64.0
2020-10-29,False,4,55.16
2020-11-25,False,5,72.74
2021-02-05,False,17,70.7
2021-02-10,False,9,70.38
2021-02-19,False,15,68.72
2021-04-14,False,5,65.42
2021-04-21,False,2,64.5
2021-05-18,False,5,70.96
2021-05-19,False,4,71.0
2021-06-10,False,4,73.92
2021-08-03,False,10,66.94
2021-09-24,False,12,67.02
2021-09-28,False,3,70.5
2021-09-28,False,3,70.5
2021-10-04,False,5,70.38
2021-10-07,False,6,71.0
2021-11-11,False,4,67.2
2021-11-26,False,5,63.5
2021-11-29,False,9,61.8
2022-01-13,False,2,62.26
2022-01-19,False,15,55.62
2022-03-30,False,20,31.14
2022-04-13,False,3,33.9
2022-04-19,False,35,31.5
2022-04-26,False,3,29.2
2022-06-03,False,2,26.8
2022-06-07,False,6,25.9
2022-06-20,False,5,27.6
2022-06-21,False,17,28.24
2022-06-22,False,2,26.8
2022-06-29,False,13,29.1
2022-07-28,False,8,27.94
2022-08-12,False,5,27.1
2022-08-29,False,6,28.4
2022-08-30,False,10,29.5
2022-08-31,False,5,28.74
2022-09-21,False,6,25.26
2022-10-25,False,22,24.78
2022-10-26,False,22,25.18
2022-11-24,False,3,25.24
2022-12-06,False,5,24.96
2023-01-06,False,5,25.7
2023-01-11,False,14,26.8
2023-01-12,False,13,27.74
2023-02-09,False,39,29.59
2023-02-09,False,3,29.59
2023-02-10,False,4,29.4
2023-03-21,False,2,29.86
2023-03-27,False,2,29.83
2023-06-14,False,3,40.95
2023-06-15,False,5,41.35
2023-06-16,False,2,43.5
2023-07-19,False,4,44.48
2023-11-22,False,25,39.25
2023-11-28,False,3,37.8
2023-11-29,False,21,37.35
2023-11-30,False,14,36.6
2023-12-05,False,3,35.7
2023-12-06,False,17,35.92
2024-01-09,False,3,37.6
2024-01-12,False,5,37.94
2024-02-06,False,3,39.91
