date,bought,count,price
2022-03-08,True,2,94.89
2022-04-11,True,7,99.61
2022-04-12,True,2,100.92
2022-04-26,True,6,100.67
2022-04-27,True,76,101.67
2022-05-12,True,87,103.98
2022-06-05,True,10,107.96
2022-06-27,True,40,92.79
2022-08-28,True,9,99.15
2022-09-06,True,3,94.85
2022-09-19,True,3,92.54
2022-09-27,True,7,87.85
2022-09-28,True,12,88.79
2022-09-29,True,11,86.89
2022-10-03,True,2,89.37
2022-10-10,True,3,91.41
2022-11-14,True,11,111.63
2022-12-01,True,12,108.69
2022-12-08,True,5,109.4
2022-12-20,True,2,109.6
2023-02-26,True,3,120.9
2023-03-01,True,2,119.99
2023-03-19,True,4,114.47
2023-03-28,True,4,117.23
2023-04-26,True,4,123.98
2023-05-07,True,13,122.5
2023-05-08,True,9,120.98
2023-05-25,True,43,125.36
2023-05-29,True,3,124.96
2023-06-08,True,30,126.1
2023-06-11,True,59,129.32
2023-07-26,True,22,131.5
2023-07-30,True,6,133.58
2023-08-08,True,73,131.66
2023-08-09,True,19,132.2
2023-08-15,True,23,128.32
2023-09-13,True,20,130.0
2023-09-17,True,39,131.4
2023-09-18,True,69,129.44
2023-10-05,True,2,123.6
2023-12-20,True,4,137.0
2022-03-13,False,2,102.06
2022-05-04,False,7,107.47
2022-05-04,False,78,107.47
2022-05-26,False,6,108.42
2022-06-08,False,87,106.29
2022-06-12,False,10,98.69
2022-07-11,False,40,94.17
2022-09-15,False,9,91.35
2022-09-20,False,3,89.72
2022-09-27,False,3,87.85
2022-10-04,False,11,92.98
2022-10-13,False,7,97.33
2022-10-13,False,2,97.33
2022-10-16,False,12,95.33
2022-10-17,False,3,100.08
2022-12-28,False,14,109.74
2023-01-17,False,11,114.92
2023-01-22,False,5,117.23
2023-03-19,False,3,114.47
2023-04-03,False,4,124.13
2023-04-13,False,2,124.31
2023-04-17,False,4,126.32
2023-05-11,False,9,121.64
2023-06-05,False,47,126.9
2023-06-18,False,13,132.34
2023-06-21,False,3,129.3
2023-07-05,False,30,132.58
2023-07-24,False,59,136.26
2023-08-20,False,6,126.9
2023-09-21,False,22,124.68
2023-09-21,False,19,124.68
2023-09-21,False,39,124.68
2023-09-24,False,73,123.8
2023-09-25,False,20,122.76
2023-10-12,False,2,125.86
2023-10-15,False,23,121.84
2023-10-19,False,69,122.72
2024-01-14,False,4,148.58
