date,bought,count,price
2020-02-20,True,12,232.51
2020-03-05,True,33,203.0
2020-03-06,True,100,193.5
2020-03-17,True,3,169.0
2020-04-14,True,39,189.73
2020-04-23,True,6,189.98
2020-05-07,True,3,187.5
2020-06-10,True,9,204.84
2020-06-18,True,4,195.45
2020-06-25,True,27,191.72
2020-06-29,True,14,192.64
2020-08-03,True,98,182.5
2020-08-04,True,111,184.05
2020-08-20,True,6,188.78
2020-08-27,True,2,187.5
2020-08-28,True,3,184.95
2020-09-11,True,27,174.43
2020-10-02,True,3,167.38
2020-10-08,True,6,168.19
2020-10-14,True,2,166.68
2020-10-19,True,12,165.0
2020-11-03,True,6,158.21
2021-01-20,True,4,223.0
2021-01-22,True,6,216.5
2021-01-27,True,2,219.49
2021-02-02,True,61,215.6
2021-02-03,True,30,215.42
2021-02-15,True,3,228.49
2021-02-24,True,2,224.42
2021-04-23,True,14,231.29
2021-06-22,True,2,273.5
2021-07-14,True,3,282.89
2021-07-29,True,3,283.97
2021-08-10,True,2,288.0
2021-08-23,True,6,294.7
2021-10-27,True,13,363.29
2021-11-18,True,3,350.05
2021-11-24,True,2,343.87
2022-01-28,True,9,325.5
2022-03-28,True,6,225.0
2022-04-19,True,4,216.9
2022-06-30,True,15,299.5
2022-07-01,True,356,200.48
2022-07-20,True,2,190.0
2022-08-15,True,15,174.01
2022-08-16,True,6,175.5
2022-09-29,True,22,219.5
2022-11-02,True,3,169.92
2022-11-16,True,4,166.6
2022-11-21,True,3,168.55
2023-01-25,True,3,157.9
2023-01-27,True,2,157.58
2023-02-03,True,2,158.09
2023-02-14,True,4,157.9
2023-03-15,True,2,161.69
2023-04-03,True,3,170.99
2023-04-25,True,136,181.5
2023-04-28,True,9,184.4
2023-05-23,True,6,172.88
2023-05-29,True,4,165.9
2023-06-22,True,51,170.0
2023-08-17,True,4,174.71
2023-09-14,True,2,175.25
2023-09-19,True,6,172.99
2023-09-21,True,11,168.5
2023-11-01,True,9,167.88
2023-11-13,True,30,168.25
2023-11-20,True,20,165.2
2023-11-21,True,4,165.4
2023-11-28,True,5,162.91
2023-12-01,True,17,163.22
2023-12-07,True,7,158.8
2023-12-26,True,8,161.45
2024-01-03,True,12,159.73
2020-02-28,False,12,210.0
2020-03-10,False,33,169.45
2020-03-11,False,100,174.0
2020-03-20,False,3,180.0
2020-04-29,False,6,189.9
2020-05-26,False,3,198.95
2020-06-01,False,39,200.25
2020-06-30,False,9,197.9
2020-07-14,False,4,195.02
2020-07-24,False,27,184.86
2020-08-13,False,98,192.51
2020-08-14,False,111,194.27
2020-09-04,False,14,178.98
2020-09-09,False,6,172.72
2020-09-09,False,3,172.72
2020-09-10,False,2,173.9
2020-09-18,False,27,184.4
2020-10-29,False,3,155.01
2020-10-29,False,2,155.01
2020-10-30,False,6,155.0
2020-11-02,False,12,153.98
2020-11-09,False,6,166.72
2021-02-09,False,6,229.0
2021-02-09,False,61,229.0
2021-02-10,False,30,227.98
2021-02-17,False,2,232.32
2021-03-15,False,4,234.98
2021-03-16,False,2,237.3
2021-03-31,False,3,226.4
2021-04-30,False,14,230.11
2021-07-06,False,2,292.08
2021-08-18,False,3,299.0
2021-08-24,False,3,299.0
2021-08-31,False,2,305.83
2021-09-02,False,6,313.59
2021-11-15,False,13,333.8
2021-11-23,False,3,316.09
2021-12-14,False,2,307.0
2022-02-22,False,9,253.95
2022-04-01,False,6,245.9
2022-04-28,False,4,239.4
2022-07-01,False,15,200.48
2022-07-05,False,356,186.25
2022-07-22,False,2,189.0
2022-08-24,False,15,184.7
2022-08-30,False,6,190.45
2022-09-30,False,22,231.68
2022-12-20,False,3,157.49
2022-12-20,False,3,157.49
2022-12-29,False,4,161.8
2023-02-27,False,5,153.9
2023-02-28,False,2,156.49
2023-03-21,False,4,176.0
2023-03-28,False,2,172.94
2023-04-17,False,3,180.85
2023-05-10,False,9,171.3
2023-05-24,False,136,165.51
2023-05-31,False,6,161.51
2023-06-01,False,4,162.9
2023-07-04,False,51,166.9
2023-08-24,False,4,174.05
2023-11-28,False,2,162.91
2023-12-05,False,6,160.17
2023-12-12,False,45,164.87
2023-12-15,False,14,161.05
2023-12-19,False,7,167.17
2024-01-08,False,20,162.44
2024-01-24,False,12,168.36
