date,bought,count,price
2012-04-09,True,5,15.73
2012-04-11,True,3,15.87
2012-05-03,True,8,15.26
2012-05-08,True,2,15.15
2012-05-31,True,5,14.73
2012-06-01,True,5,14.31
2012-06-05,True,11,14.4
2012-10-17,True,4,18.62
2012-11-01,True,12,17.0
2012-11-28,True,3,16.72
2012-12-10,True,4,17.15
2012-12-11,True,5,17.27
2013-01-31,True,5,18.78
2013-02-01,True,5,18.97
2013-02-26,True,29,19.89
2013-03-20,True,5,20.44
2013-03-22,True,5,20.39
2013-05-22,True,12,22.59
2013-06-03,True,5,21.85
2013-06-04,True,2,21.72
2013-06-07,True,43,21.78
2013-06-26,True,6,21.87
2013-09-03,True,2,21.38
2013-09-25,True,12,22.19
2013-09-27,True,5,21.89
2013-10-10,True,32,21.62
2013-11-13,True,4,25.19
2013-12-06,True,5,26.77
2014-03-05,True,13,30.41
2014-03-14,True,2,29.58
2014-04-01,True,14,28.03
2014-04-07,True,19,27.24
2014-04-11,True,18,26.9
2014-04-14,True,22,27.18
2014-06-16,True,16,27.86
2014-08-26,True,7,29.6
2014-09-02,True,5,29.15
2014-09-17,True,13,29.48
2014-10-16,True,10,26.35
2014-10-20,True,2,26.02
2014-12-10,True,7,26.8
2015-01-02,True,36,26.63
2015-01-12,True,2,24.96
2015-01-30,True,48,25.95
2015-02-23,True,2,26.95
2015-05-04,True,11,27.55
2015-07-02,True,18,27.24
2015-07-30,True,11,32.87
2015-07-31,True,10,33.24
2015-09-04,True,2,31.49
2015-09-24,True,11,32.45
2015-09-25,True,31,32.93
2015-09-28,True,4,31.95
2016-01-11,True,4,36.6
2016-01-12,True,12,37.04
2016-01-14,True,7,36.22
2016-01-19,True,21,36.01
2016-03-24,True,4,37.56
2016-04-07,True,26,38.27
2016-04-11,True,2,38.27
2016-04-27,True,3,36.27
2016-05-17,True,4,36.55
2016-05-18,True,2,35.92
2016-06-15,True,2,36.75
2016-06-29,True,32,34.71
2016-08-18,True,3,40.27
2016-08-22,True,14,39.93
2016-08-24,True,3,39.84
2016-09-01,True,12,39.6
2016-10-06,True,3,40.2
2016-11-25,True,3,39.13
2016-12-22,True,3,40.46
2016-12-27,True,13,40.43
2016-12-29,True,7,40.12
2016-12-30,True,10,40.16
2017-01-03,True,27,40.03
2017-02-02,True,12,40.75
2017-02-28,True,24,42.37
2017-03-06,True,5,42.34
2017-03-22,True,15,42.47
2017-03-27,True,4,41.4
2017-04-11,True,5,42.08
2017-06-12,True,5,47.94
2017-06-15,True,6,47.4
2017-06-19,True,15,48.48
2017-07-27,True,5,48.46
2017-08-01,True,2,47.39
2017-08-03,True,19,47.46
2017-08-04,True,12,47.2
2017-08-09,True,5,46.92
2017-08-15,True,5,47.05
2017-08-30,True,5,46.78
2017-10-26,True,3,49.92
2017-11-10,True,60,52.19
2017-11-15,True,10,51.75
2017-11-20,True,2,51.8
2018-03-16,True,14,57.77
2018-03-19,True,21,55.89
2018-03-27,True,12,53.19
2018-03-28,True,17,50.1
2018-04-30,True,2,51.72
2018-05-02,True,2,51.7
