date,bought,count,price
1984-08-27,True,5,1.4
1984-08-28,True,5,1.4
1984-08-30,True,5,1.39
1984-09-04,True,5,1.36
1984-09-21,True,5,1.36
1984-10-26,True,5,1.45
1984-10-31,True,5,1.42
1984-11-01,True,5,1.42
1984-11-21,True,5,1.37
1984-12-05,True,5,1.38
1984-12-11,True,5,1.37
1985-01-07,True,5,1.4
1985-01-08,True,5,1.42
1985-02-01,True,5,1.55
1985-02-20,True,5,1.61
1985-02-25,True,5,1.61
1985-03-11,True,5,1.6
1985-03-27,True,5,1.61
1985-04-08,True,5,1.61
1985-04-09,True,5,1.59
1985-04-17,True,5,1.63
1985-06-17,True,5,1.83
1985-07-15,True,5,1.84
1985-07-25,True,5,1.82
1985-08-09,True,5,1.78
1985-09-17,True,5,1.78
1985-09-20,True,5,1.77
1985-09-30,True,6,1.76
1985-10-08,True,5,1.77
1985-10-23,True,5,1.78
1985-11-29,True,5,2.05
1985-12-24,True,5,2.17
1986-02-14,True,5,2.24
1986-04-29,True,5,2.83
1986-05-07,True,4,2.71
1986-05-21,True,4,2.82
1986-06-04,True,5,2.82
1986-06-05,True,5,2.77
1986-07-10,True,5,2.97
1986-07-28,True,5,2.77
1986-08-06,True,4,2.56
1986-08-22,True,5,2.68
1986-08-25,True,5,2.66
1986-09-15,True,5,2.44
1986-09-16,True,5,2.44
1986-09-24,True,5,2.43
1986-10-02,True,5,2.32
1986-10-16,True,5,2.5
1986-11-17,True,5,2.53
1986-12-02,True,5,2.62
1986-12-11,True,3,2.64
1986-12-15,True,5,2.56
1986-12-18,True,5,2.6
1986-12-31,True,5,2.6
1987-01-02,True,5,2.55
1987-02-13,True,5,2.9
1987-03-20,True,5,3.21
1987-05-13,True,5,3.33
1987-05-15,True,4,3.33
1987-05-21,True,5,3.19
1987-06-02,True,5,3.32
1987-06-24,True,5,3.43
1987-07-23,True,5,3.33
1987-08-24,True,5,3.78
1987-08-25,True,5,3.75
1987-09-09,True,5,3.45
1987-09-22,True,13,3.38
1987-10-15,True,5,2.94
1987-11-06,True,3,2.74
1987-11-11,True,7,2.77
1987-11-23,True,10,2.82
1987-12-15,True,3,2.72
1988-01-04,True,9,2.77
1988-01-14,True,5,2.68
1988-02-19,True,5,2.83
1988-02-22,True,5,2.89
1988-02-23,True,5,2.91
1988-03-15,True,5,2.83
1988-03-18,True,5,2.84
1988-03-31,True,5,2.69
1988-04-04,True,5,2.72
1988-04-21,True,5,2.64
1988-04-25,True,5,2.65
1988-05-12,True,5,2.68
1988-06-22,True,5,2.86
1988-07-21,True,5,2.83
1988-07-22,True,5,2.78
1988-07-25,True,5,2.77
1988-07-26,True,5,2.76
1988-07-27,True,5,2.81
1988-08-15,True,5,2.76
1988-08-18,True,5,2.73
1988-08-19,True,5,2.8
1988-08-26,True,5,2.77
1988-09-20,True,5,2.95
1988-09-28,True,5,2.96
1988-10-28,True,5,3.0
1988-11-01,True,5,3.02
1988-11-09,True,5,2.93
1988-11-22,True,5,2.94
1988-12-14,True,5,3.0
1988-12-27,True,5,3.01
1988-12-28,True,5,3.01
1989-01-09,True,5,3.0
1989-01-19,True,5,3.02
1989-02-15,True,5,3.24
1989-03-20,True,5,3.18
1989-03-22,True,5,3.17
1989-03-23,True,5,3.16
1989-05-19,True,5,3.64
1989-06-08,True,5,3.76
1989-06-09,True,5,3.77
1989-07-07,True,3,3.7
1989-08-07,True,5,3.78
1989-08-14,True,3,3.7
1989-09-05,True,3,3.71
1989-09-06,True,5,3.71
1989-09-11,True,5,3.71
1989-09-25,True,5,3.81
1989-09-28,True,6,3.86
1989-10-17,True,3,3.89
1989-11-03,True,3,3.92
1989-11-21,True,5,4.05
1989-12-26,True,5,4.28
1990-01-09,True,2,4.38
1990-01-17,True,4,4.14
1990-01-18,True,5,4.06
1990-01-26,True,5,3.96
1990-02-23,True,5,3.98
1990-02-27,True,6,4.04
1990-03-16,True,5,4.12
1990-03-19,True,5,4.12
1990-04-06,True,5,4.09
1990-04-09,True,5,4.02
1990-04-10,True,3,4.12
1990-05-18,True,5,4.13
1990-06-12,True,3,4.61
1990-07-26,True,5,4.26
1990-08-15,True,5,3.9
1990-08-16,True,5,3.87
1990-08-20,True,5,3.66
1990-08-22,True,5,3.64
1990-08-23,True,5,3.38
1990-09-05,True,4,3.62
1990-09-10,True,2,3.62
