date,bought,count,price
2021-01-11,True,2,260.48
2021-03-01,True,11,260.82
2021-10-25,True,2,320.3
2021-12-27,True,2,338.85
2022-03-21,True,3,214.5
2022-05-16,True,11,197.05
2022-05-30,True,317,194.89
2022-07-04,True,3,158.14
2022-09-05,True,13,160.1
2022-09-12,True,27,167.39
2022-10-24,True,16,127.25
2021-01-25,False,2,278.14
2021-03-22,False,11,290.45
2021-11-08,False,2,344.42
2022-01-24,False,2,297.84
2022-04-04,False,3,225.98
2022-06-13,False,11,170.59
2022-06-20,False,317,165.93
2022-07-11,False,3,167.07
2022-09-19,False,13,145.24
2022-09-26,False,27,140.12
2022-10-31,False,16,98.22
