date,bought,count,price
2020-02-17,True,44,90.98
2020-02-25,True,28,88.2
2020-02-27,True,24,87.94
2020-03-03,True,78,87.67
2020-03-04,True,22,85.38
2020-03-11,True,5,76.0
2020-03-12,True,5,69.89
2020-03-26,True,25,68.93
2020-04-17,True,19,79.5
2020-04-22,True,29,76.9
2020-05-12,True,30,82.79
2020-05-13,True,20,81.71
2020-05-15,True,2,82.13
2020-05-27,True,3,81.52
2020-06-16,True,10,83.03
2020-06-17,True,4,82.33
2020-07-08,True,2,88.24
2020-08-24,True,3,97.38
2020-09-01,True,12,96.81
2020-09-03,True,4,96.15
2020-10-06,True,3,96.27
2020-10-08,True,15,95.6
2020-10-21,True,6,95.15
2020-10-28,True,40,94.14
2020-11-02,True,14,92.43
2020-11-25,True,5,95.3
2020-12-14,True,2,96.9
2020-12-24,True,2,94.19
2021-03-10,True,4,107.45
2021-03-12,True,5,108.5
2021-03-23,True,11,107.93
2021-03-24,True,18,106.3
2021-04-28,True,8,104.48
2021-04-30,True,3,104.31
2021-05-05,True,5,105.01
2021-05-14,True,32,102.48
2021-05-26,True,3,102.71
2021-05-27,True,16,102.94
2021-06-14,True,28,102.79
2021-06-18,True,20,102.3
2021-07-22,True,3,93.47
2021-07-26,True,9,92.82
2021-08-24,True,11,94.3
2021-09-15,True,4,93.39
2021-09-22,True,20,90.35
2021-10-01,True,26,90.5
2021-11-05,True,6,92.07
2021-11-12,True,14,91.72
2021-11-16,True,33,92.1
2021-11-22,True,2,91.64
2021-12-14,True,5,84.3
2021-12-15,True,10,83.52
2021-12-16,True,3,85.45
2021-12-17,True,19,85.52
2021-12-20,True,8,85.0
2021-12-28,True,6,83.0
2022-01-10,True,34,83.76
2022-01-12,True,4,83.64
2022-01-18,True,19,78.5
2022-01-21,True,3,76.11
2022-01-28,True,20,74.25
2022-04-12,True,2,63.0
2022-04-18,True,16,60.59
2022-04-19,True,68,59.1
2022-06-03,True,2,57.8
2022-06-06,True,116,58.2
2022-06-08,True,19,58.3
2022-06-14,True,4,57.76
2022-07-18,True,2,64.5
2022-08-25,True,7,60.29
2022-09-09,True,12,60.22
2022-09-21,True,18,55.0
2022-09-22,True,49,55.0
2022-11-07,True,60,57.53
2022-11-14,True,5,57.6
2022-11-16,True,59,57.0
2022-12-15,True,16,55.89
2023-01-23,True,50,56.34
2023-01-30,True,3,61.89
2023-02-14,True,6,59.5
2023-02-20,True,12,57.31
2023-02-21,True,16,57.62
2023-03-14,True,21,58.71
2023-04-17,True,10,62.8
2023-06-05,True,2,74.22
2023-06-13,True,2,71.58
2023-07-21,True,6,71.5
2023-07-31,True,21,74.04
2023-08-11,True,3,76.9
2023-08-15,True,9,74.3
2023-08-17,True,2,73.75
2023-09-14,True,2,75.52
2023-10-05,True,4,72.5
2023-10-06,True,19,72.3
2023-10-09,True,13,72.3
2023-11-03,True,17,75.44
2023-11-28,True,4,80.82
2023-12-12,True,5,70.37
2023-12-15,True,8,68.0
2023-12-29,True,10,69.29
2024-01-29,True,3,77.36
2020-02-18,False,44,90.22
2020-03-06,False,28,81.5
2020-03-06,False,78,81.5
2020-03-10,False,24,75.0
2020-03-11,False,22,76.0
2020-03-12,False,5,69.89
2020-03-13,False,5,64.98
2020-03-30,False,25,67.0
2020-04-23,False,19,78.4
2020-04-29,False,29,82.0
2020-05-21,False,30,82.67
2020-06-22,False,20,86.1
2020-06-22,False,3,86.1
2020-06-26,False,2,87.74
2020-06-26,False,4,87.74
2020-06-29,False,10,89.19
2020-08-05,False,2,93.98
2020-11-12,False,22,95.15
2020-11-17,False,12,96.41
2020-12-04,False,14,97.53
2020-12-29,False,5,95.3
2021-01-06,False,6,100.6
2021-01-06,False,5,100.6
2021-01-08,False,40,99.96
2021-01-11,False,2,99.99
2021-03-31,False,15,106.84
2021-04-07,False,5,107.1
2021-05-19,False,23,104.9
2021-06-02,False,24,102.81
2021-07-16,False,3,96.91
