date,bought,count,price
2020-02-27,True,3,1573.0
2020-03-04,True,111,1401.4
2020-03-05,True,133,1524.0
2020-04-03,True,3,840.0
2020-04-13,True,14,936.0
2020-04-16,True,2,930.0
2020-06-10,True,3,1205.2
2020-06-16,True,10,1239.2
2020-07-06,True,5,1481.0
2020-07-13,True,7,1509.8
2020-08-18,True,3,1828.6
2020-09-04,True,3,1770.2
2020-09-14,True,2,1840.0
2020-10-07,True,10,2004.0
2020-10-12,True,3,1980.2
2020-11-02,True,27,1872.2
2020-11-20,True,11,2260.0
2020-11-23,True,11,2257.0
2020-12-29,True,3,2373.2
2021-01-27,True,4,3051.0
2021-01-29,True,3,3031.0
2021-03-01,True,38,3900.0
2021-03-24,True,2,4260.0
2021-03-29,True,18,4324.0
2021-05-18,True,12,4593.2
2021-05-20,True,3,4543.4
2021-07-14,True,3,6519.4
2021-08-02,True,6,6100.0
2021-08-27,True,64,6830.4
2021-10-25,True,39,7660.0
2021-11-22,True,3,7075.0
2021-11-30,True,11,6741.0
2021-12-01,True,32,7255.4
2021-12-23,True,2,5965.0
2021-12-24,True,12,5989.4
2021-12-27,True,56,5991.6
2022-01-10,True,11,5760.0
2022-01-11,True,9,5839.0
2022-01-24,True,11,4826.0
2022-04-22,True,2,2519.5
2022-05-11,True,6,2304.0
2022-05-26,True,11,2160.0
2022-06-02,True,24,2128.5
2022-06-03,True,16,2112.0
2022-06-10,True,16,1777.0
2022-06-20,True,2,1676.5
2022-06-28,True,3,1695.0
2022-08-02,True,38,1850.0
2022-08-30,True,5,2730.0
2022-09-07,True,7,2690.0
2022-09-21,True,6,2509.5
2022-09-26,True,3,2500.0
2022-09-30,True,6,2309.0
2022-10-21,True,15,2513.0
2022-11-09,True,11,2592.0
2022-11-24,True,14,2735.0
2022-12-07,True,3,2630.0
2022-12-19,True,7,2507.0
2022-12-20,True,3,2440.0
2022-12-21,True,3,2564.0
2023-02-15,True,7,2599.0
2023-02-17,True,10,2513.0
2023-02-20,True,13,2483.0
2023-02-21,True,10,2494.0
2023-02-24,True,3,2477.0
2023-03-16,True,13,2497.0
2023-04-05,True,54,2505.5
2023-04-06,True,7,2504.0
2023-04-26,True,2,2690.0
2023-05-08,True,4,2618.0
2023-06-06,True,3,3210.0
2023-06-27,True,17,3314.0
2023-06-29,True,4,3300.0
2023-08-17,True,40,3512.0
2023-09-27,True,5,3289.0
2023-10-02,True,7,3260.0
2023-10-27,True,7,3450.0
2023-11-15,True,7,3422.0
2023-11-16,True,11,3420.5
2023-11-28,True,10,3440.0
2023-12-15,True,7,2990.0
2024-01-24,True,2,3110.0
2020-03-02,False,3,1448.6
2020-03-05,False,111,1524.0
2020-03-06,False,133,1400.4
2020-04-07,False,3,969.0
2020-04-21,False,14,861.0
2020-04-22,False,2,836.2
2020-06-17,False,3,1319.6
2020-06-19,False,10,1344.0
2020-07-17,False,5,1625.0
2020-07-20,False,7,1664.8
2020-08-26,False,3,2040.0
2020-09-08,False,3,1900.0
2020-09-18,False,2,1974.4
2020-10-13,False,10,1881.2
2020-10-14,False,3,1860.2
2020-11-05,False,27,2020.0
2020-12-03,False,11,2465.0
2020-12-04,False,11,2360.0
2021-01-08,False,3,2598.8
2021-02-02,False,4,3275.0
2021-02-05,False,3,3208.0
2021-03-15,False,38,4415.0
2021-04-02,False,2,4596.0
2021-04-05,False,18,4737.6
2021-05-27,False,12,5108.4
2021-05-28,False,3,5540.0
2021-07-27,False,3,6660.0
2021-08-05,False,6,6569.0
2021-09-01,False,64,6453.0
2021-10-28,False,39,7268.0
2021-11-23,False,3,6600.0
2021-12-01,False,11,7255.4
2021-12-03,False,32,7271.0
2022-01-03,False,58,6148.0
2022-01-13,False,11,6192.0
2022-01-17,False,12,5520.0
2022-01-18,False,9,5307.0
2022-01-28,False,11,5440.0
2022-04-25,False,2,2185.0
2022-05-13,False,6,2052.0
2022-06-06,False,11,2010.0
2022-06-07,False,24,1900.0
2022-06-08,False,16,1879.0
2022-06-15,False,16,1589.0
2022-06-22,False,2,1680.0
2022-06-29,False,3,1930.0
2022-08-11,False,38,2065.0
2022-09-13,False,5,2980.0
2022-09-14,False,7,3024.0
2022-09-23,False,6,2830.0
2022-09-27,False,3,2160.0
2022-10-04,False,6,2666.0
2022-11-14,False,15,2691.0
2022-11-15,False,11,2800.0
2022-12-09,False,14,2513.5
2022-12-12,False,3,2485.0
2022-12-28,False,3,2618.0
2023-01-12,False,7,2699.0
2023-01-16,False,3,2749.0
2023-02-27,False,7,2384.5
2023-03-10,False,20,2528.0
2023-03-22,False,13,2493.0
2023-04-03,False,3,2499.5
2023-04-11,False,13,2769.0
2023-04-11,False,7,2769.0
2023-04-17,False,54,2700.0
2023-05-17,False,2,2899.0
2023-05-18,False,4,2990.0
2023-06-14,False,3,3454.0
2023-07-18,False,17,3477.5
2023-08-01,False,4,3548.0
2023-09-05,False,40,3758.5
2023-10-12,False,5,3315.0
2023-10-16,False,7,3498.0
2023-11-10,False,7,3530.0
2023-11-24,False,7,3464.5
2023-12-05,False,10,3255.0
2023-12-06,False,11,3234.0
2023-12-29,False,7,3202.0
2024-02-05,False,2,3157.5
