date,bought,count,price
2023-09-21,True,3,257.85
2023-09-28,True,4,240.02
2023-09-29,True,2,250.0
2023-10-25,True,119,215.88
2023-12-05,True,13,233.87
2023-12-06,True,29,242.92
2023-12-14,True,4,241.22
2024-01-09,True,7,238.11
2024-01-19,True,8,209.99
2024-01-23,True,2,211.3
2024-01-25,True,2,189.7
2023-09-25,False,3,243.38
2023-10-03,False,4,248.61
2023-10-09,False,2,255.31
2023-10-31,False,119,196.12
2023-12-11,False,13,242.74
2023-12-27,False,4,258.35
2023-12-28,False,29,263.66
2024-01-12,False,7,220.08
2024-01-25,False,8,189.7
2024-01-26,False,2,185.5
