date,bought,count,price
2022-01-28,True,2,0.0433
2022-03-24,True,21,0.0181
2022-03-28,True,3,0.017545
2022-04-19,True,6,0.019
2022-04-25,True,12,0.0186
2022-05-26,True,30,0.01887
2022-05-30,True,5,0.018695
2022-06-02,True,4,0.018435
2022-06-10,True,5,0.01703
2022-07-19,True,13,0.01809
2022-08-02,True,13,0.01815
2022-08-08,True,7,0.01785
2022-08-17,True,30,0.018105
2022-09-13,True,10,0.020235
2022-11-07,True,5,0.016585
2022-11-18,True,15,0.01714
2022-11-21,True,11,0.017065
2022-11-30,True,15,0.016975
2022-12-02,True,2,0.016915
2022-12-07,True,3,0.016575
2022-12-12,True,19,0.016715
2022-12-21,True,5,0.016485
2023-01-03,True,3,0.016355
2023-01-06,True,18,0.016355
2023-01-25,True,6,0.0166
2023-02-15,True,43,0.016635
2023-02-20,True,13,0.016045
2023-03-16,True,3,0.01644
2023-04-03,True,13,0.018185
2023-04-12,True,7,0.01861
2023-05-05,True,98,0.02113
2023-05-08,True,14,0.021195
2023-05-10,True,8,0.02076
2023-06-05,True,3,0.0227
2023-06-27,True,2,0.021935
2023-08-17,True,113,0.02701
2023-09-14,True,2,0.026705
2023-09-27,True,6,0.0256
2023-11-01,True,2,0.025345
2023-12-01,True,25,0.02388
2023-12-25,True,16,0.02305
2023-12-28,True,16,0.022955
2024-01-24,True,2,0.02462
2022-02-08,False,2,0.0411
2022-03-25,False,21,0.0197
2022-04-01,False,3,0.0205
2022-04-28,False,12,0.0201
2022-04-29,False,6,0.0195
2022-06-06,False,30,0.01756
2022-06-07,False,5,0.017415
2022-06-08,False,4,0.017265
2022-06-15,False,5,0.01752
2022-07-25,False,13,0.01835
2022-08-31,False,7,0.019145
2022-09-02,False,13,0.01965
2022-09-05,False,30,0.0202
2022-09-21,False,10,0.017
2022-11-16,False,5,0.01695
2022-12-14,False,3,0.01663
2022-12-16,False,15,0.016105
2022-12-16,False,15,0.016105
2022-12-19,False,11,0.01613
2022-12-20,False,2,0.016
2022-12-28,False,19,0.016995
2023-01-12,False,23,0.016775
2023-01-18,False,3,0.01672
2023-01-31,False,6,0.01687
2023-02-28,False,13,0.016415
2023-03-21,False,43,0.018995
2023-03-22,False,3,0.01825
2023-04-04,False,13,0.02
2023-04-21,False,7,0.020045
2023-05-16,False,8,0.02254
2023-05-18,False,98,0.02345
2023-05-19,False,14,0.023035
2023-06-19,False,3,0.022925
2023-07-17,False,2,0.023055
2023-08-22,False,113,0.02785
2023-09-22,False,2,0.02471
2023-10-23,False,6,0.02606
2023-11-30,False,2,0.02387
2023-12-05,False,25,0.02266
2024-01-09,False,16,0.024915
2024-01-10,False,16,0.0247
